,oci,street,street_from,street_to,oci_desc,COLLISION_DATE,COLLISION_TIME,PRIMARY_RD,SECONDARY_RD,CHP_BEAT_TYPE,WEATHER_1,COLLISION_SEVERITY,PRIMARY_COLL_FACTOR,PCF_VIOL_CATEGORY,LIGHTING,ROAD_SURFACE,ROAD_COND_1
362,71.9,UNIVERSITY AV,WABASH AV,LA VERNE PL,Good,20150225,1840,UNIVERSITY AV,WABASH AV,0,A,4,A,10,C,A,H
363,91.36,IMPERIAL AV,24TH ST,25TH ST,Good,20150226,0525,IMPERIAL AV,25TH ST,0,A,4,A,10,C,A,H
364,61.704,HOME AV,FAIRMOUNT AV,45TH ST,Fair,20150225,1630,HOME AV,FAIRMONT AV,0,A,4,A,- ,A,A,H
365,88.068,TIMBERLAKE DR,SUNSET RIDGE DR,POYNTELL CR,Good,20150225,1555,TIMBERLAKE DR,SUNSET RIDGE DR,0,A,4,A,12,A,A,H
366,39.18,STALMER ST,ANGELUCCI ST,LINDA VISTA (FTG) RD,Poor,20150227,0948,STALMER ST,LINDA VISTA RD,0,B,4,A,12,A,A,H
367,78.394,WASHINGTON ST,09TH AV,SR-163 NB ON RA,Good,20150226,1944,WASHINGTON ST,09TH ST,0,A,4,D,00,C,A,H
368,72.722,10TH AV,F ST,E ST,Good,20150225,2147,10TH AV,F ST,0,A,3,A,12,C,A,H
369,92.328,COLLWOOD BL,COLLWOOD WY,MONTEZUMA RD,Good,20150220,1721,COLLWOOD BL,MONTEZUMA RD,0,A,4,C,18,B,A,H
370,88.356,NIMITZ BL,ATASCADERO DR,VOLTAIRE ST,Good,20150227,2338,RIMITZ BL,ATASCADERO DR,0,B,4,A,03,C,A,H
371,80.496,COLUMBIA ST,W B ST,W A ST,Good,20150224,1525,COLUMBIA ST,W B ST,0,A,3,D,00,A,A,H
372,86.324,MISSION VILLAGE DR,FULLERTON AV,FERMI AV,Good,20150223,2124,MISSION VILLAGE DR,FULLERTON AV,0,A,4,A,08,C,A,H
373,26.486,INGRAHAM ST,HORNBLEND ST,GARNET AV,Poor,20150225,1156,INGRAHAM ST,HORNBLEND ST,0,A,4,A,09,-,A,H
374,47.794,BALBOA AV,MT ABERNATHY AV,MT RIAS PL,Fair,20150210,1000,BALBOA AV,MOUNT RIAS PL,0,A,3,A,10,A,A,H
375,46.578,PROSPECT PL,PARK RW,COAST BL,Fair,20150225,1124,PROSPECT PL,PARK ROW,0,A,3,A,08,A,A,H
376,92.516,BERNARDO HEIGHTS PY,AVNDA VENUSTO,CALLE NOBLEZA,Good,20150223,0730,BERNARDO HEIGHTS PKWY,AVNIDA VENUSTO,0,B,4,A,12,A,B,G
377,89.66,MIRA MESA BL,PENRIDGE ST,CAMTO ALVAREZ,Good,20150224,0550,MIRA MESA BL,PENRIDGE ST,0,A,4,A,03,B,A,H
378,85.144,MIRA MESA BL,REAGAN RD,CAM RUIZ,Good,20150225,0100,MIRA MESA BL,REAGAN RD 9700,0,A,4,A,08,C,A,H
379,63.504,LEHRER DR,BAXTER ST,DIANE AV,Fair,20150210,0738,LEHRER DR,BAXTER ST,0,A,3,A,10,A,A,H
380,74.072,ROSWELL ST,BEVERLY ST,56TH ST,Good,20150210,1628,ROSWELL ST,BEVERLY ST,0,A,3,A,09,A,A,H
