"seg_id","oci","street","street_from","street_to","seg_length_ft","seg_width_ft","func_class","pvm_class","area_sq_ft","oci_desc","oci_wt"
"SS-002710",57,"ARISTOTLE DR","OMEGA DR","END",228.0991,30,"Residential","AC Improved",6842.973,"Fair",390049.461
"SS-021834",22.06,"PINECONE LN","PARTHENON DR","CAMPHOR LN",95.1824,24,"Residential","AC Improved",2284.3776,"Poor",50393.369856
"SS-005539",39,"CALLE GAVIOTA","WINCHESTER ST","ROANOKE ST",344.3631,36,"Residential","AC Improved",12397.0716,"Poor",483485.7924
"SS-024689",41.45,"SEASCAPE DR","HOMEDALE ST","CALLE TRES LOMAS",607.2354,36,"Residential","AC Improved",21860.4744,"Fair",906116.66388
"SS-024595",39,"SEA BREEZE DR","WINCHESTER ST","ROANOKE ST",330.7749,30,"Residential","AC Improved",9923.247,"Poor",387006.633
"SS-008443",100,"CUMBERLAND ST","WESTWOOD ST","HOPKINS ST",333.1651,40,"Residential","AC Improved",13326.604,"Good",1332660.4
"SS-009249",40.52,"DISSINGER AV","KAUSMAN ST","KEEN DR",256.2227,40,"Residential","AC Improved",10248.908,"Fair",415285.75216
"SS-023117",54.91,"RHOADES RD","CLYDE AV","RHOADES CT",260.8441,40,"Residential","AC Improved",10433.764,"Fair",572917.98124
"SS-003818",36.99,"BEATRICE ST","CLYDE AV","DISSINGER AV",458.4177,36,"Residential","AC Improved",16503.0372,"Poor",610447.346028
"SS-019090",20.81,"MORNINGSIDE ST","WINCHESTER ST","ROANOKE ST",332.6051,36,"Residential","AC Improved",11973.7836,"Poor",249174.436716
"SS-022708",75.74,"RANCHO HILLS DR","REO DR","CALLE GAVIOTA",836.5594,40,"Collector","AC Improved",33462.376,"Good",2534440.35824
"SS-020803",69.28,"OVAL DR","GARBER AV","END",178.3144,30,"Residential","AC Improved",5349.432,"Fair",370608.64896
"SS-016027",81.05,"LANDSCAPE DR","MANOS DR","PARKSIDE AV",591.1633,40,"Residential","AC Improved",23646.532,"Good",1916551.4186
"SS-021900",71.48,"PLATO DR","GARBER AV","END",251.6447,30,"Residential","AC Improved",7549.341,"Good",539626.89468
"SS-017371",55.88,"MANOS DR","CHADWICK AV","DARDAINA DR",468.119,40,"Local","AC Improved",18724.76,"Fair",1046339.5888
"SS-021723",57,"PETTIGO DR","MANOS DR","END",507.1095,30,"Residential","AC Improved",15213.285,"Fair",867157.245
"SS-009076",39,"DEMETER WY","MANOS DR","END",485.1353,30,"Residential","AC Improved",14554.059,"Poor",567608.301
"SS-027539",74.66,"VESUVIA WY","BEGIN","PARKSIDE AV",338.4298,30,"Residential","AC Improved",10152.894,"Good",758015.06604
"SS-021312",80.2,"PARKSIDE AV","REDFORD PL","DARDAINA DR",536.9045,40,"Collector","AC Improved",21476.18,"Good",1722389.636
"SS-017670",57.99,"MARMIL AV","MARMIL WY","MT MIGUEL DR",691.3362,36,"Residential","AC Improved",24888.1032,"Fair",1443261.104568
"SS-029813",50.58,"W FRONTAGE RD","CITY BOUNDARY","MAIN (SB) ST",504.6546,30,"Residential","AC Improved",15139.638,"Fair",765762.89004
"SS-030678",69,"BLACK CORAL WY","ROYAL ISLAND WY","WHEELHOUSE DR",336.3711,30,"Residential","AC Improved",10091.133,"Fair",696288.177
"SS-016527",100,"LINDBERGH ST","MAITLAND AV","MATHER AV",255.902,36,"Local","AC Improved",9212.472,"Good",921247.2
"SS-030685",57,"FATHOM CT","SEA LAVENDER WY","END",228.7632,36,"Residential","AC Improved",8235.4752,"Fair",469422.0864
"SS-028179",84.39,"WAILEA WY","MABUHAY WY","KAPALUA CT",446.1997,36,"Residential","AC Improved",16063.1892,"Good",1355572.536588
"SS-017263",46.6,"MAITLAND AV","LINDBERGH ST","CHANUTE ST",641.6359,36,"Local","AC Improved",23098.8924,"Fair",1076408.38584
"SS-022969",69,"REEF DR","MAGELLAN ST","PITCAIRN ST",264.3679,36,"Residential","AC Improved",9517.2444,"Fair",656689.8636
"SS-012750",46.44,"GROGAN CR","GROGAN CT","CHURRITUCK DR",274.0019,36,"Residential","AC Improved",9864.0684,"Fair",458087.336496
"SS-009344",64.81,"DONAX CT","BEGIN","DONAX AV",101.02,50,"Residential","AC Improved",5051,"Fair",327355.31
"SS-009333",75,"DONAX AV","DONAX CT","HARWOOD ST",127,40,"Residential","AC Unimproved",5080,"Good",381000
"SS-009135",21.17,"DESTY ST","GOULD LN","MC BURNEY CT",283.0019,36,"Residential","AC Improved",10188.0684,"Poor",215681.408028
"SS-005954",72.6,"CAMBERLEY CT","BEGIN","BARDSLEY CT",252,32,"Residential","AC Improved",8064,"Good",585446.4
"SS-020033",60.47,"NORSTAD ST","NORSTAD AV","GOODBODY ST",545.1908,40,"Collector","AC Improved",21807.632,"Fair",1318707.50704
"SS-030252",57,"KOSTNER DR","LA HUERTA WY","RENE DR",421.5598,40,"Residential","AC Improved",16862.392,"Fair",961156.344
"SS-013635",45,"HOLDERNESS LN","DESTY ST","END",351.0629,30,"Local","AC Improved",10531.887,"Fair",473934.915
"SS-022971",69,"REEF DR","VIA PAPEETE","ORCHID WY",1456.5953,36,"Residential","AC Improved",52437.4308,"Fair",3618182.7252
"SS-013645",69,"HOLLISTER ST","FLOWER AV","STARBURST LN",611.0469,44,"Collector","AC Improved",26886.0636,"Fair",1855138.3884
"SS-010362",83.69,"ENERO CT","AQUA PARK ST","OTONO ST",154.7417,36,"Residential","AC Improved",5570.7012,"Good",466211.983428
"SS-025646",57,"STONEWOOD WY","STARBURST LN","LIEDER DR",254,32,"Residential","AC Improved",8128,"Fair",463296
"SS-016377",51,"LIEDER DR","ZURICH DR","WALPEN DR",280,36,"Residential","AC Improved",10080,"Fair",514080
"SS-016379",83.4,"LIEDER DR","GREEN BAY ST","STONEWOOD WY",660,32,"Residential","AC Improved",21120,"Good",1761408
"SS-016380",71.4,"LIEDER DR","STONEWOOD WY","END",484,32,"Residential","AC Improved",15488,"Good",1105843.2
"SS-030485",73.8,"SEA TERN CT","SEA ISLE DR","END",270.1274,36,"Residential","AC Improved",9724.5864,"Good",717674.47632
"SS-017009",54.65,"LUNGOS CT","LANAO LN","MINDANAO WY",242.2255,32,"Residential","AC Improved",7751.216,"Fair",423603.9544
"SS-030692",86.2,"BLACK CORAL WY","DAYSAILOR CT","BLACK CORAL CT",239.2322,36,"Residential","AC Improved",8612.3592,"Good",742385.36304
"SS-021028",100,"PALM (SB) AV","DESTY ST","LANAO LN",878.8854,64,"Major","AC Improved",56248.6656,"Good",5624866.56
"SS-021031",52.62,"PALM (SB) AV","LANAO LN","BEYER BL",995.1223,64,"Major","AC Improved",63687.8272,"Fair",3351253.467264
"SS-028181",70,"WAILEA WY","LEILANI WY","PALM (SB) AV",176,36,"Residential","AC Improved",6336,"Good",443520
"SS-020032",57.53,"NORSTAD AV","BYRD ST","PALM (SB) (FTG) AV",240.0228,36,"Collector","AC Improved",8640.8208,"Fair",497106.420624
"SS-021042",29.83,"PALM (SB) AV","DELCARDO AV","FIRETHORN ST",422.0294,82,"Major","AC Improved",34606.4108,"Poor",1032309.234164
"SS-030251",57,"KOSTNER DR","DELCARDO AV","LA HUERTA WY",162.5934,40,"Residential","AC Improved",6503.736,"Fair",370712.952
"SS-008109",75.91,"COVE VIEW PL","COVE VIEW WY","END",279.9996,36,"Residential","AC Improved",10079.9856,"Good",765171.706896
"SS-020336",69,"OCEAN VIEW HILLS PY","KENTMERE TR","LYNDHURST TR",882.284,64,"Major","AC Improved",56466.176,"Fair",3896166.144
"SS-025543",69,"STARFISH WY","BEGIN","SEA REEF DR",290.4727,36,"Residential","AC Improved",10457.0172,"Fair",721534.1868
"SS-006588",39,"CASEMAN AV","PICCARD AV","PETERLYNN DR",1128.0499,36,"Residential","AC Improved",40609.7964,"Poor",1583782.0596
"SS-008738",78.49,"DARWIN WY","RANSOM ST","NEVIN ST",256.0076,36,"Residential","AC Improved",9216.2736,"Good",723385.314864
"SS-008005",69,"CORONADO (SB) AV","27TH (SB) ST","DEARBORN DR",514,64,"Major","AC Improved",32896,"Fair",2269824
"SS-017090",68.4,"MADDEN AV","FLAX DR","CORONADO (SB) AV",273.0459,36,"Local","AC Improved",9829.6524,"Fair",672348.22416
"SS-013644",39,"HOLLISTER ST","CORONADO (SB) AV","FLOWER AV",183.0437,44,"Collector","AC Improved",8053.9228,"Poor",314102.9892
"SS-011257",47.13,"FLOWER AV","NESTOR WY","HOLLISTER ST",429.0188,20,"Residential","AC Unimproved",8580.376,"Fair",404393.12088
"SS-030255",57,"KOSTNER DR","DARWIN WY","KIMSUE WY",277.0016,40,"Residential","AC Improved",11080.064,"Fair",631563.648
"SS-002572",72.56,"AQUA PARK CT","AQUA PARK ST","END",382.064,30,"Residential","AC Improved",11461.92,"Good",831676.9152
"SS-029260",57,"ZURICH DR","BEGIN","HOFER DR",248,30,"Residential","AC Improved",7440,"Fair",424080
"SS-011051",75.83,"FERN AV","THALIA ST","THERMAL AV",257.0698,36,"Residential","AC Improved",9254.5128,"Good",701769.705624
"SS-008836",39,"DEARBORN DR","SEWELL AV","ELROSE DR",448.8288,36,"Residential","AC Improved",16157.8368,"Poor",630155.6352
"SS-011052",15,"FERN AV","BEGIN","30TH (SB) ST",665,40,"Residential","AC Improved",26600,"Poor",399000
"SS-030700",84.9,"SEA CORAL DR","SEA BIRD WY","SEA WATER LN",303.3737,30,"Residential","AC Improved",9101.211,"Good",772692.8139
"SS-029261",69,"ZURICH DR","HOFER DR","YODEL LN",272,36,"Residential","AC Improved",9792,"Fair",675648
"SS-020791",64.81,"OTONO ST","ENERO CT","DEL SOL BL",180.236,36,"Residential","AC Improved",6488.496,"Fair",420519.42576
"SS-009024",51,"DEL SOL BL","TWINING AV","KOSTNER DR",581.0552,64,"Major","AC Improved",37187.5328,"Fair",1896564.1728
"SS-009027",50.18,"DEL SOL BL","DEL SOL LN","DEL SUR BL",929.1225,64,"Collector","AC Improved",59463.84,"Fair",2983895.4912
"SS-012770",100,"GROVE AV","GAYWOOD ST","ATWATER ST",259.1237,50,"Major","AC Improved",12956.185,"Good",1295618.5
"SS-012944",84.49,"HALO ST","THERMAL AV","GROVE AV",278.8942,48,"Prime","AC Improved",13386.9216,"Good",1131061.005984
"SS-012945",100,"HALO ST","GROVE AV","THALIA ST",275.9308,50,"Major","AC Improved",13796.54,"Good",1379654
"SS-030544",69,"OCEAN VIEW HILLS PY","BREAKERS WY","SEA FIRE PT",1125.9533,78,"Major","AC Improved",87824.3574,"Fair",6059880.6606
"SS-007318",80.53,"CLAIRTON PL","OAKDEN DR","REKLOW DR",222.0089,36,"Local","AC Improved",7992.3204,"Good",643621.561812
"SS-020769",50.56,"OTAY MESA RD","OTAY MESA CENTER RD","LA MEDIA RD",1338.2723,115,"Collector","AC Improved",153901.3145,"Fair",7781250.46112
"SS-026373",100,"THERMAL AV","TAMARAND WY","THELBORN WY",245.0019,40,"Collector","AC Improved",9800.076,"Good",980007.6
"SS-027678",64.1,"VIA DE LA BANDOLA","VIA DEL BARDO","VIA DE LA MELODIA",806.244,32,"Residential","AC Improved",25799.808,"Fair",1653767.6928
"SS-026354",79.43,"THELBORN WY","THERMAL AV","STANDLAKE ST",1168.1502,36,"Residential","AC Improved",42053.4072,"Good",3340302.133896
"SS-016599",50.21,"LITTLE DIPPER WY","SHOOTING STAR DR","END",162.2285,30,"Local","AC Improved",4866.855,"Fair",244364.78955
"SS-013652",60.28,"HOLLISTER ST","IRIS AV","LEON AV",1001.0798,64,"Collector","AC Improved",64069.1072,"Fair",3862085.782016
"SS-024940",54.82,"SHOOTING STAR CT","SHOOTING STAR DR","END",422.1432,36,"Local","AC Improved",15197.1552,"Fair",833108.048064
"SS-016313",69,"LEON AV","BUBBLING WELL DR","THERMAL AV",259.0172,25,"Residential","AC Improved",6475.43,"Fair",446804.67
"SS-016315",87.6,"LEON AV","THERMAL AV","TREMAINE WY",973.7931,40,"Residential","AC Improved",38951.724,"Good",3412171.0224
"SS-016099",74.81,"LAS CONICAS","BEGIN","VIA DEL VALEDOR",136.3562,30,"Residential","AC Improved",4090.686,"Good",306024.21966
"SS-016844",57,"LONJA WY","DON PANCHO WY","EL PORVENIR WY",322.6964,36,"Residential","AC Improved",11617.0704,"Fair",662173.0128
"SS-025115",48.58,"SMYTHE AV","ATHEY AV","VIA DE LA MELODIA",482.3876,70,"Major","AC Improved",33767.132,"Fair",1640407.27256
"SS-011734",85.88,"GAILES BL","OTAY MESA RD","ST ANDREWS AV",683.6295,78,"Residential","AC Improved",53323.101,"Good",4579387.91388
"SS-022347",24.07,"PRECISION PARK LN","BEGIN","BEYER BL",639.0608,50,"Local","AC Improved",31953.04,"Poor",769109.6728
"SS-001896",85.15,"AILSA CT","OTAY MESA RD","ST ANDREWS AV",682.012,64,"Residential","AC Improved",43648.768,"Good",3716692.5952
"SS-020964",82.96,"PACIFIC RIM CT","CAM MAQUILADORA","END",393.4289,16,"Residential","AC Improved",6294.8624,"Good",522221.784704
"SS-030714",69,"CORAL GATE LN","CORAL CREST WY","CORAL SHORES CT",273.1366,34,"Residential","AC Improved",9286.6444,"Fair",640778.4636
"SS-030496",75.6,"QUILALANG CT","ANELLA RD","END",261.0151,30,"Residential","AC Improved",7830.453,"Good",591982.2468
"SS-007436",100,"CLOVERDALE RD","CITY BOUNDARY","SAN PASQUAL RD",2837.225,30,"Prime","AC Improved",85116.75,"Good",8511675
"SS-024131",47.94,"SAN PASQUAL RD","OLD MILKY WY","CLOVERDALE RD",2536.6382,40,"Collector","AC Unimproved",101465.528,"Fair",4864257.41232
"SS-022204",100,"POMERADO RD","POMERADO PL","GRANDEE PL",524,82,"Major","AC Improved",42968,"Good",4296800
"SS-015125",80.4,"KENTMERE TR","FALCONHURST TR","HEATHBROOK CT",234,35,"Residential","AC Improved",8190,"Good",658476
"SS-002675",55,"AREY DR","PICCARD AV","TWINING AV",1493,40,"Residential","AC Improved",59720,"Fair",3284600
"SS-009028",69,"DEL SOL BL","DENNERY RD","RIVIERA SUMMIT RD",524,72,"Collector","AC Improved",37728,"Fair",2603232
"SS-023500",84.02,"ROSA LINDA ST","DEL SOL LN","DEL SUR BL",916.6517,36,"Residential","AC Improved",32999.4612,"Good",2772614.730024
"SS-009036",47.33,"DEL SOL LN","ROSA LINDA ST","ARRUZA ST",262.0688,36,"Residential","AC Improved",9434.4768,"Fair",446533.786944
"SS-006512",78.82,"CARNELL AV","BEYER BL","DEBENMARK PL",162.6929,36,"Residential","AC Improved",5856.9444,"Good",461644.357608
"SS-012604",69,"GREEN BAY ST","JUDITH AV","HEMLOCK AV",260.0174,38,"Residential","AC Improved",9880.6612,"Fair",681765.6228
"SS-013316",51,"HEMLOCK AV","GREEN BAY ST","HOLLISTER ST",1322.0964,40,"Residential","AC Improved",52883.856,"Fair",2697076.656
"SS-004305",84.4,"BISCAY DR","VERALEE DR","DORINDA CT",313.1774,36,"Residential","AC Improved",11274.3864,"Good",951558.21216
"SS-026029",39,"SWITZERLAND DR","HANSEL DR","ILEX AV",256.0177,36,"Residential","AC Improved",9216.6372,"Poor",359448.8508
"SS-013650",84.56,"HOLLISTER ST","HEMLOCK AV","ILEX AV",263.0017,64,"Collector","AC Improved",16832.1088,"Good",1423323.120128
"SS-000551",53.17,"27TH (SB) ST","GROVE AV","IRIS AV",1335.0362,19,"Prime","AC Improved",25365.6878,"Fair",1348693.620326
"SS-004179",69,"BEYER BL","VERALEE DR","IRIS AV",772.1269,68,"Major","AC Improved",52504.6292,"Fair",3622819.4148
"SS-025519",70.26,"STANDLAKE ST","SATELLITE BL","WOLVISTON WY",164.0488,36,"Residential","AC Improved",5905.7568,"Good",414938.472768
"SS-026310",84.23,"TERRACE PINE DR","TERRACE PINE LN","MONTEREY PINE DR",283.1475,40,"Residential","AC Improved",11325.9,"Good",953980.557
"SS-002735",55.61,"ARKLOW PL","WOLVISTON WY","ROYSTON DR",248.1288,36,"Residential","AC Improved",8932.6368,"Fair",496743.932448
"SS-026371",100,"THERMAL AV","SATELLITE BL","ROYSTON DR",415.0046,40,"Collector","AC Improved",16600.184,"Good",1660018.4
"SS-028700",36.7,"WHITMAN ST","MORENA BL","END",190.6462,34,"Residential","AC Improved",6481.9708,"Poor",237888.32836
"SS-030492",57,"MASTERSON LN","CLANTON PL","END",172.2828,40,"Residential","AC Improved",6891.312,"Fair",392804.784
"SS-004764",81.64,"BRANDO DR","ARBODAR RD","VALENTINO ST",1351.9629,40,"Residential","AC Improved",54078.516,"Good",4414970.04624
"SS-028506",79.09,"WEST PARK AV","SEAWARD AV","ALAQUINAS DR",445.0099,32,"Prime","AC Improved",14240.3168,"Good",1126266.655712
"SS-030019",81.85,"W SEAWARD AV","SEAWARD AV","CYPRESS DR",173.0462,40,"Residential","AC Improved",6921.848,"Good",566553.2588
"SS-024700",76.47,"SEAWARD AV","W SEAWARD AV","EAST PARK AV",139.1295,30,"Prime","AC Improved",4173.885,"Good",319176.98595
"SS-024701",18,"SEAWARD AV","BEGIN","MESA AV",145.0311,20,"Residential","AC Improved",2900.622,"Poor",52211.196
"SS-008536",35.76,"CYPRESS DR","BEGIN","W SEAWARD AV",119.0001,19,"Residential","PCC Jointed Concrete",2261.0019,"Poor",80853.427944
"SS-015661",56.2,"LA MEDIA RD","AIRWAY RD","AVNDA DE LA FUENTE",1281.8394,40,"Major","AC Improved",51273.576,"Fair",2881574.9712
"SS-024971",86.92,"SIEMPRE VIVA RD","PASEO DE LAS AMERICA","MICHAEL FARADAY DR",1220.0408,40,"Collector","AC Improved",48801.632,"Good",4241837.85344
"SS-008538",36.38,"CYPRESS DR","W HALL AV","SELLSWAY ST",167.878,20,"Residential","PCC Jointed Concrete",3357.56,"Poor",122148.0328
"SS-012929",52.41,"HALL AV","EAST PARK AV","PEPPER (SB) DR",176.071,30,"Residential","AC Improved",5282.13,"Fair",276836.4333
"SS-004404",46.89,"BLANCHE ST","SANGER PL","TENNIE ST",473.2453,19,"Residential","PCC Jointed Concrete",8991.6607,"Fair",421618.970223
"SS-004907",85.7,"BRITANNIA BL","AIRWAY RD","SIEMPRE VIVA RD",2647.0706,40,"Major","AC Improved",105882.824,"Good",9074158.0168
"SS-027884",78.01,"VIA SEGUNDO","W CALLE PRIMERA","END",484.2196,44,"Residential","AC Improved",21305.6624,"Good",1662054.723824
"SS-028504",58.2,"WEST OLIVE AV","E SAN YSIDRO BL","MAIN (SB) ST",155.8236,70,"Residential","AC Improved",10907.652,"Fair",634825.3464
"SS-028808",13.14,"WILLOW RD","E SAN YSIDRO BL","BOLTON HALL RD",455.0177,30,"Residential","AC Unimproved",13650.531,"Poor",179367.97734
"SS-030353",57,"WARDLOW AV","VALANCE ST","BRANDO DR",249.0504,40,"Residential","AC Improved",9962.016,"Fair",567834.912
"SS-024367",83.94,"SARNEN ST","SIEMPRE VIVA RD","KERNS ST",834.2901,64,"Residential","AC Improved",53394.5664,"Good",4481939.903616
"SS-004204",100,"BIBLER DR","NAYLOR RD","DEAVER LN",466.9113,40,"Prime","AC Improved",18676.452,"Good",1867645.2
"SS-014528",75.6,"JANSE WY","ANELLA RD","END",140.794,30,"Residential","AC Improved",4223.82,"Good",319320.792
"SS-004597",100,"BORDER VILLAGE RD","BOLTON HALL RD","VIRGINIA (SB) AV",1324.5917,40,"Prime","AC Improved",52983.668,"Good",5298366.8
"SS-029033",87.6,"WITTMAN WY","JANSE WY","KANEKO CT",222.5061,32,"Residential","AC Improved",7120.1952,"Good",623729.09952
"SS-011159",75.6,"FIX CT","BEGIN","ANELLA RD",163.5688,30,"Residential","AC Improved",4907.064,"Good",370974.0384
"SS-030493",57,"CLANTON PL","BEGIN","MASTERSON LN",464.4433,36,"Residential","AC Improved",16719.9588,"Fair",953037.6516
"SS-004906",87.02,"BRITANNIA BL","OTAY MESA RD","AIRWAY RD",2647.6496,40,"Major","AC Improved",105905.984,"Good",9215938.72768
"SS-003067",67.02,"AVERIL RD","PEARL LN","BLACKSHAW LN",281.0442,40,"Prime","AC Improved",11241.768,"Fair",753423.29136
"SS-004183",39,"BEYER BL","COTTONWOOD RD","NORTH (SB) LN",735.3057,82,"Major","AC Improved",60295.0674,"Poor",2351507.6286
"SS-025288",48.94,"SOUTH VISTA AV","COTTONWOOD RD","SUNSET LN",189.0025,32,"Prime","AC Improved",6048.08,"Fair",295993.0352
"SS-013611",85.8,"HIRES WY","BEGIN","DEAVER LN",243.2122,32,"Residential","AC Improved",7782.7904,"Good",667763.41632
"SS-030501",57,"REMINGTON HILLS DR","CARBINE WY","OTAY MESA RD",470.3844,40,"Residential","AC Improved",18815.376,"Fair",1072476.432
"SS-022051",73.87,"POESIA CT","PLANICIE WY","END",242.0019,30,"Residential","AC Improved",7260.057,"Good",536300.41059
"SS-004237",59.29,"BIOLA AV","CORBIN ST","DORAN ST",263.2297,36,"Residential","AC Improved",9476.2692,"Fair",561848.000868
"SS-026562",80.59,"TOCAYO AV","RODEAR RD","PLANICIE WY",622.3929,40,"Residential","AC Improved",24895.716,"Good",2006345.75244
"SS-003146",62.12,"AVNDA DE LA MADRID","PASEO FRATERNIDAD","SMYTHE AV",136.0919,40,"Prime","AC Improved",5443.676,"Fair",338161.15312
"SS-027786",35.91,"VIA LAS TONADAS","BEGIN","CTE LAS TONADAS",226.0552,30,"Residential","AC Improved",6781.656,"Poor",243529.26696
"SS-021794",83.94,"PIKAKE ST","DALISAY ST","INTERNATIONAL RD",795.4318,36,"Residential","AC Improved",28635.5448,"Good",2403667.630512
"SS-028323",85.92,"WATERVILLE RD","DUBLIN DR","END",862.0834,50,"Residential","AC Improved",43104.17,"Good",3703510.2864
"SS-002978",78.73,"ATHERTON AV","HONESTIDAD RD","HOLLISTER ST",171.9321,36,"Residential","AC Improved",6189.5556,"Good",487303.712388
"SS-002980",80.68,"ATHERTON AV","BIOLA AV","CABRENA ST",274.9232,36,"Residential","AC Improved",9897.2352,"Good",798508.935936
"SS-016109",28.47,"LASHLEE LN","BEGIN","PADRE TULLIO DR",247.1297,30,"Local","AC Improved",7413.891,"Poor",211073.47677
"SS-016209",100,"LAWNDALE ST","QUADRA AV","WARDLOW AV",877.5598,36,"Residential","AC Improved",31592.1528,"Good",3159215.28
"SS-027322",100,"VALANCE ST","QUADRA AV","WARDLOW AV",833.7339,36,"Residential","AC Improved",30014.4204,"Good",3001442.04
"SS-030352",57,"WARDLOW AV","LEATHERWOOD ST","VALANCE ST",303.4033,40,"Residential","AC Improved",12136.132,"Fair",691759.524
"SS-024132",31.74,"SAN PASQUAL RD","SUNSET HILLS","CITY BOUNDARY",4102.7276,40,"Collector","AC Unimproved",164109.104,"Poor",5208822.96096
"SS-028445",78.19,"WEST BERNARDO DR","AGUAMIEL RD","POMERADO RD",7057.8601,24,"Major","AC Improved",169388.6424,"Good",13244497.949256
"SS-026042",64.81,"SYCAMORE CREEK RD","CITY BOUNDARY","HIGHLAND VALLEY RD",3684.8256,20,"Residential","AC Improved",73696.512,"Fair",4776270.94272
"SS-022201",34.85,"POMERADO RD","MIRASOL DR","VEZELAY LN",883,82,"Major","AC Improved",72406,"Poor",2523349.1
"SS-018927",81.3,"MONTICOOK CT","SMOKESIGNAL DR","END",1071.0785,32,"Residential","AC Improved",34274.512,"Good",2786517.8256
"SS-018453",39.85,"MIRASOL DR","VIA ALTA MIRASOL","MIRASOL WY",851.3296,36,"Major","AC Improved",30647.8656,"Poor",1221317.44416
"SS-028446",32.49,"WEST BERNARDO DR","CAMTO SIEGA","DUENDA RD",1318,64,"Collector","AC Improved",84352,"Poor",2740596.48
"SS-006490",84.1,"CARMEL VALLEY RD","POINTE DEL MAR WY","OLD EL CAM REAL",1345.7814,90,"Major","AC Improved",121120.326,"Good",10186219.4166
"SS-011551",83.78,"FRONDOSO DR","GREENS EAST RD","BODEGA WY",1665.1458,36,"Residential","AC Improved",59945.2488,"Good",5022212.944464
"SS-028447",81.56,"WEST BERNARDO DR","POBLADO RD","CAMTO SIEGA",1374.1676,64,"Major","AC Improved",87946.7264,"Good",7172935.005184
"SS-003382",43.28,"BAJADA RD","BERNARDO CENTER DR","GRACIOSA RD",2178.0965,35,"Residential","AC Improved",76233.3775,"Fair",3299380.5782
"SS-012512",56.22,"GRANDEE PL","POMERADO RD","CONQUISTADOR WY",419.3843,40,"Residential","AC Improved",16775.372,"Fair",943111.41384
"SS-006217",78.4,"CAPILLA RD","PALACIO CT","CAPILLA PL",374.2942,40,"Residential","AC Improved",14971.768,"Good",1173786.6112
"SS-006723",39,"CAUBY ST","RILEY ST","END",338.281,40,"Residential","AC Improved",13531.24,"Poor",527718.36
"SS-004087",85.24,"BERNARDO OAKS DR","PRADO RD","FRANCISCO DR",524.5025,40,"Major","AC Improved",20980.1,"Good",1788343.724
"SS-018896",85.49,"MONTERO RD","ABRA DR","CITY BOUNDARY",173.3765,40,"Residential","AC Improved",6935.06,"Good",592878.2794
"SS-022687",84.6,"RANCHO BERNARDO RD","ACENA DR","BERNARDO OAKS DR",1935,80,"Major","AC Improved",154800,"Good",13096080
"SS-022205",87.43,"POMERADO RD","RANCHO BERNARDO RD","POMERADO CT",1414,82,"Major","AC Improved",115948,"Good",10137333.64
"SS-022689",62.94,"RANCHO BERNARDO RD","CRESTA DR","ALONDRA DR",848,80,"Major","AC Improved",67840,"Fair",4269849.6
"SS-016799",87.71,"LOMICA DR","BERNARDO CENTER DR","ACENA DR",763.0239,40,"Major","AC Improved",30520.956,"Good",2676993.05076
"SS-023260",86.33,"RIOS RD","ANTONIO DR","ALONDRA DR",244.9519,40,"Residential","AC Improved",9798.076,"Good",845867.90108
"SS-017798",36.1,"MATURIN DR","BERNARDO CENTER DR","WINDROSE WY",384.2042,64,"Major","AC Improved",24589.0688,"Poor",887665.38368
"SS-022693",70.94,"RANCHO CARMEL DR","CARMEL MTN RD","AVENUE OF SCIENCE",3766.8366,78,"Collector","AC Improved",293813.2548,"Good",20843112.295512
"SS-006441",43.07,"CARMEL MTN RD","PENASQUITOS DR","RANCHO CARMEL DR",2706.1193,98,"Major","AC Improved",265199.6914,"Fair",11422150.708598
"SS-026245",100,"TED WILLIAMS PY","ESPRIT AV","CITY BOUNDARY",725.6493,106,"Collector","AC Improved",76918.8258,"Good",7691882.58
"SS-001815",46.12,"ADOBE BLUFFS DR","WATERFORD LN","LA TRUCHA ST",847,40,"Residential","AC Improved",33880,"Fair",1562545.6
"SS-027866",52.36,"VIA RIMINI","VIA PARMA","VIA SAN MARCO",767.3405,40,"Residential","AC Improved",30693.62,"Fair",1607117.9432
"SS-005369",50.28,"CALDERON RD","ELLINGHAM ST","CALDERON CT",948.1645,40,"Residential","AC Improved",37926.58,"Fair",1906948.4424
"SS-027867",62.35,"VIA RIMINI","VIA ASTI","VIA PARMA",380.0302,40,"Residential","AC Improved",15201.208,"Fair",947795.3188
"SS-022567",35.31,"RACETRACK VIEW DR","CITY BOUNDARY","RACETRACK VIEW CT",2836.6486,36,"Residential","AC Improved",102119.3496,"Poor",3605834.234376
"SS-015967",81.58,"LANDFAIR RD","WINDSWEPT TR","HALF MILE DR",767.1451,32,"Residential","AC Improved",24548.6432,"Good",2002678.312256
"SS-023874",65.54,"SABRE SPRINGS PY","MORNING CREEK S DR","MORNING CREEK N DR",1794.4738,56,"Major","AC Improved",100490.5328,"Fair",6586149.519712
"SS-023940",52.3,"SALMON RIVER RD","PIPILO ST","FAIRGROVE LN",1132.6187,40,"Prime","AC Improved",45304.748,"Fair",2369438.3204
"SS-020200",16.68,"NUTMEG ST","03RD AV","04TH AV",280.0019,52,"Residential","AC Improved",14560.0988,"Poor",242862.447984
"SS-016963",43.51,"LOZANA RD","BOQUITA DR","MIRA MONTANA DR",348.0539,40,"Residential","PCC Jointed Concrete",13922.156,"Fair",605753.00756
