,LAT,LONG
157,32.79781670000001,-117.2402422
158,33.0117289,-117.0912438
159,32.7515847,-117.2049385
160,32.8373235,-117.0927195
161,32.7175952,-117.0773065
162,32.7484214,-117.1437388
163,32.8501001,-117.2558394
164,32.8491786,-117.1994352
165,32.879932,-117.1597633
166,32.7913259,-117.1630461
167,32.7430861,-117.2106515
168,32.9068396,-117.1458945
169,32.8204597,-117.1670842
170,32.7875453,-117.0643935
171,32.8205753,-117.2338784
172,32.7944506,-117.1942593
173,32.82860429999999,-117.1933197
174,32.7583934,-117.1972671
175,32.7251318,-117.1611527
176,32.7208979,-117.1638397
177,32.7557649,-117.0943712
178,32.5790907,-117.0230721
179,32.672189,-117.0522062
180,32.7643968,-117.1540622
181,32.7456002,-117.1260827
182,32.7402517,-117.1010203
183,32.82909679999999,-117.1488285
184,32.8019358,-117.2356143
185,32.7262084,-117.2278524
186,32.56826,-117.0772499
187,32.9775607,-117.090327
188,32.9027456,-117.1241047
189,32.9066402,-117.1771244
190,32.9371404,-117.1129372
191,32.8724522,-117.2141439
192,32.7965613,-117.2554747
193,33.0343426,-117.0900395
194,32.9230757,-117.0590582
195,32.8618332,-117.2252948
196,32.8501569,-117.2515517
197,32.7974138,-117.2421054
198,32.7541112,-117.2137637
199,32.7725717,-117.1573225
200,32.7489594,-117.1534635
201,32.8199606,-117.1491154
202,32.685497,-117.115356
203,32.8056007,-117.2210519
204,32.5507893,-117.0390916
205,32.8346776,-117.1638792
206,32.710475,-117.1619649
207,32.712592,-117.022582
208,32.8014657,-117.2253112
209,32.7656334,-117.2512162
210,32.8095824,-117.1444885
211,32.5522555,-117.0445698
212,32.8348788,-117.1488751
213,32.7629004,-117.1302137
214,32.90699439999999,-117.1741806
215,32.6994312,-117.0284787
216,32.6927555,-117.0734655
217,32.9438272,-117.0916511
218,33.0203331,-117.0748132
219,32.7487286,-117.0793715
220,32.8024321,-117.21189
221,32.8203555,-117.1715234
222,32.7690841,-117.0677998
223,32.9068396,-117.1458945
224,32.7488678,-117.0725705
225,32.7223516,-117.13021
226,32.7295411,-117.1736588
227,32.7497713,-117.1192948
228,32.7319007,-117.1285843
229,32.7522251,-117.1276931
230,32.8218864,-117.1488236
231,32.7531422,-117.0954767
232,32.739397,-117.2278064
233,33.0203522,-117.0749353
234,32.686657,-117.117027
235,32.7318501,-117.129469
236,32.7366063,-117.1603356
237,32.7381452,-117.0581881
238,32.7251318,-117.1611527
239,32.722641,-117.094346
240,32.7520664,-117.14927
241,32.7495906,-117.2060193
242,32.8049404,-117.1752608
243,32.9055523,-117.181056
244,32.7495906,-117.2060193
245,32.8327575,-117.1435689
246,32.8775914,-117.178402
247,32.9517395,-117.2394244
248,32.7516695,-117.2350962
249,32.8976403,-117.1025678
250,32.8029154,-117.2163566
251,32.5890979,-117.0238654
