,oci,street,street_from,street_to,oci_desc,COLLISION_DATE,COLLISION_TIME,PRIMARY_RD,SECONDARY_RD,CHP_BEAT_TYPE,WEATHER_1,COLLISION_SEVERITY,PRIMARY_COLL_FACTOR,PCF_VIOL_CATEGORY,LIGHTING,ROAD_SURFACE,ROAD_COND_1
39,23.51,INGRAHAM ST,GRAND AV,HORNBLEND ST,Poor,20110124,1337,INGRAHAM ST,GRAND AV,0,A,3,A,09,A,A,-
40,58.58,VISTA SORRENTO PY,SORRENTO VALLEY BL,CALLE MAR DE MARIPOS,Fair,20110126,1720,VISTA SORRENTO PKWY,SORRENTO VALLEY BL,0,B,4,A,04,C,A,H
41,100,GRAMERCY DR,PASTERNACK PL,MISSION VILLAGE DR,Good,20110126,1255,GRAMERCY DR,PASTERNACK PL,0,A,4,A,09,A,A,H
42,67.36,06TH AV,GRAPE ST,HAWTHORN ST,Fair,20110126,1530,06TH AV,HAWTHORN ST,0,A,4,A,09,A,A,H
43,60.41,MANZANA WY,GOODE ST,WESTBROOK AV,Fair,20110214,1551,MANZANA WY,GOODE ST,S,A,0,C,18,A,A,H
44,52.49,ROBINSON AV,05TH AV,06TH AV,Fair,20110107,0535,ROBINSON,06TH AV,0,F,4,A,10,C,A,H
45,33.64,SUNSET CLIFFS BL,DEL MONTE AV,NARRAGANSETT AV,Poor,20110105,1734,SUNSET CLIFFS BL,DEL MONTE AV,0,A,3,A,11,D,A,H
46,54.37,05TH AV,NUTMEG ST,OLIVE ST,Fair,20110109,1910,05TH AV,NUTMEG,0,A,3,A,05,C,A,H
47,87.7,ACTIVITY RD,PADGETT ST,BLACK MTN RD,Good,20110105,1523,ACTIVITY RD,BLACK MOUNTAIN RD,0,A,3,A,03,A,A,H
48,65,08TH AV,B ST,A ST,Fair,20110106,1315,08TH AV,B ST,0,A,3,A,11,A,A,H
49,69,PERSHING DR,26TH ST RD,REDWOOD ST,Fair,20110106,1355,PERSHING DR,26TH ST,0,A,3,A,03,A,A,H
50,87.07,BROOKLYN AV,61ST ST,FERGUS ST,Good,20110107,1526,BROOKLYN AV,FERGUS ST,0,B,3,A,11,A,A,H
51,100,OCEAN VIEW BL,S 38TH ST,S 39TH ST,Good,20110106,1830,OCEAN VIEW BL,39TH ST,0,A,3,A,03,A,A,H
52,83.38,NATIONAL AV,SIGSBEE ST,BEARDSLEY ST,Good,20110107,1145,NATIONAL AV,BEARDSLEY ST,0,A,3,A,10,A,A,H
53,50,SCIMITAR DR,WINNETT ST,WREN ST,Fair,20110105,2100,SCIMITAR DR,WREN ST,0,A,3,A,08,D,A,H
54,35.15,A ST,10TH AV,11TH AV,Poor,20110108,2255,A ST,11TH AV,0,F,4,A,12,C,A,H
55,51,LAKE MURRAY BL,JACKSON DR,LAKE ADLON DR,Fair,20110110,1229,LAKE MURRAY BL,SAN CARLOS DR,0,A,3,A,12,A,A,H
56,39,PICADOR BL,FOREST GLEN RD,DEL SOL BL,Poor,20110109,1656,PICADOR BL,DEL SOL BL,0,B,4,A,09,A,A,H
57,69,UNIVERSITY AV,39TH ST,40TH ST,Fair,20110108,0805,UNIVERSITY AV,40TH ST,0,A,4,A,12,A,A,H
58,41.1,W WASHINGTON ST,FRONT ST,ALBATROSS ST,Fair,20110110,2346,W WASHINGTON ST,FRONT ST,0,A,4,A,03,C,A,H
59,45.57,MACAULAY ST,MENDOTA ST,CHATSWORTH BL,Fair,20110105,0905,MACAULAY ST,MENDOTA ST,0,A,4,A,09,A,A,H
60,51.31,LIBRA DR,BOOTES ST,POLARIS DR,Fair,20110105,0745,LIBRA DR,POLARIS DR,0,A,4,A,21,A,A,H
61,20.47,INGRAHAM ST,HORNBLEND ST,GARNET AV,Poor,20110109,0319,INGRAHAM ST,GARNET AV,0,A,3,A,12,C,A,H
62,51,GENESEE AV,LA JOLLA VILLAGE DR,EXECUTIVE DR,Fair,20110109,1620,GENESEE AV,LA JOLLA VILLAGE DR,0,A,4,A,08,A,A,H
63,51,LA JOLLA VILLAGE DR,GENESEE AV,EXECUTIVE WY,Fair,20110107,1948,LA JOLLA VILLAGE DR,EXECUTIVE WY,0,A,3,A,12,C,A,H
64,100,EL CAJON BL,FLORIDA ST,ALABAMA ST,Good,20110103,2305,EL CAJON BL,ALABAMA ST,0,C,3,D,00,C,B,H
65,56.74,BERYL ST,LAMONT ST,ACADEMY ST,Fair,20110105,1800,BERYL,LAMONT ST,0,B,4,A,03,C,A,H
66,100,RUFFIN RD,SPECTRUM CENTER BL,LIGHTWAVE AV,Good,20110105,1041,RUFFIN RD,SPECTRUM CTR BL,0,A,4,A,09,A,A,H
67,48.73,TALBOT ST,SCOTT ST,ROSECRANS ST,Fair,20110106,1214,TALBOT ST,SCOTT ST,0,A,3,A,08,A,A,H
68,81.59,ORANGE AV,CHAMOUNE AV,46TH ST,Good,20110131,1455,ORANGE AV,4200 46TH ST,0,A,4,A,09,A,A,H
69,82.06,W MISSION BAY DR RA,INGRAHAM ST,WEST MISSION BAY DR,Good,20110126,0805,W MISSION BAY DR,W MISSION BAY DR 1200,0,A,4,A,03,A,A,H
70,41.51,UNIVERSITY AV,06TH AV,07TH AV,Fair,20110103,1404,UNIVERSITY AV,3800 7TH AV,0,B,4,A,17,A,A,H
71,80.93,S 31ST ST,VALLE AV,MARTIN AV,Good,20110131,1230,31ST ST,3000 MARTIN,0,A,3,A,09,A,A,G
72,83.49,KEMPER ST,MIDWAY DR,SPORTS ARENA BL,Good,20110131,1242,KEMPER ST,3600 SPORTS ARENA BL,0,A,4,A,11,A,A,H
73,48.4,CAPE MAY AV,BACON ST,ABBOTT ST,Fair,20110131,0920,CAPE MAY AV,2049 BACON ST,0,A,4,A,21,A,A,H
74,35.63,EL CAJON BL,43RD ST,FAIRMOUNT AV,Poor,20110122,0654,EL CAJON BL,FAIRMOUNT AV,0,A,4,D,00,A,A,H
75,56.44,RIVER RUN DR,RIO SAN DIEGO DR,FRIARS RD,Fair,20110202,0831,RIVER RUN,FRIARS,0,A,4,A,08,A,A,H
76,85.6,OTAY MESA RD,BEYER BL,OTAY MESA PL,Good,20110201,1838,OTAY MESA RD 9300,OTAY MESA RD,0,A,3,A,08,C,A,H
77,39,CURLEW ST,SLOANE AV,W ROBINSON AV,Poor,20110202,0336,CURLEW ST,W ROBINSON AV,0,A,3,A,03,C,A,H
78,82.2,54TH ST,TROJAN AV,EL CAJON BL,Good,20110202,1801,54TH ST,TROJAN AV,0,A,4,A,08,C,A,H
79,45.87,EL CAJON BL,TEXAS ST,ARIZONA ST,Fair,20110201,1946,EL CAJON BL,TEXAS ST,0,A,3,A,12,C,A,H
80,35.9,MIDWAY DR,KEMPER ST,DUKE ST,Poor,20110201,0815,MIDWAY DR 3800,DUKE ST,0,A,4,A,09,A,A,H
81,100,NOBEL DR,JUDICIAL DR,MIRAMAR RD,Good,20110201,1855,NOBEL DR 4900,JUDICIAL DR,0,A,4,A,04,C,A,H
82,56.1,CONVOY ST,COPLEY PARK PL,END,Fair,20110201,1101,CONVOY ST,COPLEY PARK PL,0,B,4,A,03,A,A,H
83,37.56,WEST POINT LOMA BL,GREENE ST,SUNSET CLIFFS BL,Poor,20110201,1330,W POINT LOMA BL,SUNSET CLIFFS BL,0,A,3,A,09,A,A,H
84,27.92,LONGFORD ST,LONGFORD PL,KESLING ST,Poor,20110201,0715,LONGFORD ST,KESLING ST,0,B,4,A,09,A,A,H
85,80.07,WESTVIEW PY,HILLERY DR,MIRA MESA BL,Good,20110202,1644,WVIEW PKWY,MIRA MESA BL,0,A,3,A,09,A,A,H
86,86.36,ALAQUINAS DR,MT CARMEL DR,BEYER BL,Good,20110201,0840,ALAQUINAS BL,BEYER,0,A,4,A,10,A,A,H
87,39.68,CHEROKEE AV,MEADE AV,MONROE AV,Poor,20110202,0750,CHEROKEE AV,MEADE AV 3600,0,A,3,A,05,A,A,H
88,67.7,BLACK MTN RD,CAPRICORN WY,ROCKFIELD WY,Fair,20110201,0900,BLACK MOUNTAIN RD,ROCKFIELD DR,0,A,4,A,08,A,A,H
89,51.16,BLACK MTN RD,HILLERY DR,MIRA MESA BL,Fair,20110201,1830,BLACK MOUNTAIN RD,HILLERY DR,0,A,4,A,03,C,A,H
90,21.28,65TH ST,IMPERIAL AV,AKINS AV,Poor,20110202,1514,65TH ST,AKINS AV,0,A,3,A,03,A,A,H
91,63.75,CAM RUIZ,MIRALANI DR,CARROLL CANYON RD,Fair,20110128,1230,CAMINO RUIZ,MIRALANI DR,0,A,3,A,03,A,A,D
92,25.41,15TH ST,COMMERCIAL ST,IMPERIAL AV,Poor,20110131,1123,15TH ST,IMPERIAL AV,0,A,4,A,21,A,A,H
93,85.4,MEADE AV,34TH ST,SWIFT AV,Good,20110130,1050,MEADE AV,SWIFT AV,0,B,2,A,09,A,A,H
94,54.34,NIMITZ BL,NORTH HARBOR DR,SHAFTER ST,Fair,20110128,2054,NIMITZ BL,N HARBOR DR,0,A,3,A,03,C,A,H
95,73.44,W MARKET ST,COLUMBIA ST,MARKET PL,Good,20110130,2500,MARKET ST,MARKET ST 600,0,-,4,-,- ,-,-,-
96,51,COLLEGE GROVE DR,COLLEGE GROVE WY,COLLEGE AV,Fair,20110131,1700,COLLEGE GROVE DR,COLLEGE AV,0,A,4,A,10,A,A,H
97,69,MARKET ST,COTTON ST,47TH ST,Fair,20110218,0541,MARKET ST,COTTON ST,0,A,2,A,08,C,A,H
98,46.93,COLLEGE AV,ESTELLE ST,ESTELLE ST,Fair,20110111,2037,COLLEGE AV,ESTELLE ST,0,A,4,A,08,C,A,H
99,55.59,FRIARS RD,RANCHO MISSION RD,SANTO RD,Fair,20110117,1708,FRIARS RD,RANCHO MISSION RD,0,A,4,A,12,C,A,H
100,51.39,RANCHO CARMEL DR,WINDCREST LN,CARMEL MTN RD,Fair,20110101,1304,RANCHO CARMEL DR,WINDCREST,0,A,4,A,12,A,A,H
101,48.06,CAPE MAY AV,FROUDE ST,EBERS ST,Fair,20110122,1707,CAPE MAY AV,EBERS ST,0,A,4,A,06,A,A,H
102,27.96,LINDA VISTA RD,GOSHEN ST,USD MAIN DY,Poor,20110116,1430,LINDA VISTA RD,USD MAIN DRWY,0,B,4,A,12,A,A,H
103,45.16,WEST POINT LOMA BL,MENTONE ST,MONTALVO ST,Fair,20110123,1712,W POINT LOMA BL,MONTALVO ST,0,A,3,A,12,A,A,H
104,78.59,GRIBBLE ST,TARO CT,SIENA ST,Good,20110121,1715,GRIBBLE ST,SIENA ST,0,A,3,A,03,B,A,H
105,53.88,IMPERIAL AV,MESSINA WY,END,Fair,20110122,1149,IMPERIAL AV,MESSINA WY,0,A,4,A,09,A,A,H
106,54.89,LEWIS ST,03RD AV,04TH AV,Fair,20110124,0910,LEWIS ST,04TH AV,0,A,3,A,17,A,A,H
107,68.27,HOME AV,47TH ST,EUCLID AV,Fair,20110117,1010,HOME AV,EUCLID AV,0,A,4,A,03,A,A,H
108,51,AVNDA COSTA DEL SOL,AVNDA COSTA BLANCA,AVNDA DE LA FUENTE,Fair,20110125,1525,AVNIDA COSTA DEL SOL,AVNIDA DE LA FUENTE,0,A,3,A,11,A,A,H
109,39,REGENTS RD,MAHAILA AV,LA JOLLA VILLAGE DR,Poor,20110107,1025,REGENTS RD,LA JOLLA VILLAGE DR,0,A,4,A,21,A,A,H
110,64.52,30TH ST,POLK AV,HOWARD AV,Fair,20110124,1541,30TH ST,HOWARD ST,0,A,3,A,10,A,A,H
111,39,DELTA ST,S 40TH ST,S 41ST ST,Poor,20110119,1150,DELTA ST,41ST ST,0,B,4,A,03,A,A,H
112,51,MIRA MESA BL,FLANDERS DR,VIPER WY,Fair,20110123,1214,MIRA MESA BL,FLANDERS DR,0,A,4,A,12,A,A,H
113,55.6,CHATSWORTH BL,MACAULAY ST,LA CRESTA DR,Fair,20110125,0116,CHATSWORTH BL,LA CRESTA DR,0,A,4,A,08,C,A,H
114,83.57,ACACIA GROVE WY,S 37TH ST,S 38TH ST,Good,20110117,0639,ACACIA GROVE WY,S 37TH ST,0,A,0,A,05,A,A,H
115,41.87,OTAY MESA RD,INNOVATIVE DR,HERITAGE RD,Fair,20110203,1351,OTAY MESA RD,HERITAGE RD,0,A,4,A,04,A,A,H
116,51,DEL SOL BL,TWINING AV,KOSTNER DR,Fair,20110203,1012,DEL SOL BL,TWINNING AV,0,A,4,A,04,A,A,H
117,100,MT HERBERT AV,MT ETNA DR,MT FRISSELL DR,Good,20110302,1240,MOUNT HERBEI-AV,MOUNT ETNA DR,S,A,0,-,- ,A,A,H
118,85.05,MAPLE ST,52ND ST,BALSA ST,Good,20110303,1550,MAPLE ST,BALSA ST,S,A,0,A,21,A,A,H
119,31.77,NEWPORT AV,EBERS ST,SUNSET CLIFFS BL,Poor,20110301,0745,NEWPOI-AV,SUNSET CLIFFS BL,S,A,0,A,08,A,A,H
120,54.21,CLAIREMONT MESA BL,MERCURY ST,KEARNY MESA RD,Fair,20110206,0237,CLAIREMONT MESA BL,KEARNY MESA RD,0,E,2,A,08,C,A,H
121,38.21,06TH AV,B ST,A ST,Poor,20110204,2108,06TH AV,A ST,0,A,2,A,12,C,A,H
122,49.13,LYTTON ST,ST CHARLES ST,ROSECRANS ST,Fair,20110206,1936,LYTTON ST,ST CHARLES ST,0,A,2,A,11,D,A,H
123,43.82,CARMEL MTN RD,ENTREKEN WY,SPARREN AV,Fair,20110206,2212,CARMEL MOUNTAIN RD,SPARREN  AV,0,A,4,A,12,C,A,H
124,30.36,MISSION BL,PACIFIC BEACH DR,REED AV,Poor,20110204,1157,MISSION BL,REED AV,0,A,3,A,03,A,A,H
125,46.62,UPAS ST,GRANADA AV,29TH ST,Fair,20110205,2315,UPAS ST,29TH ST,0,A,4,A,08,C,A,H
126,64.62,NARRAGANSETT AV,LA CRESTA DR,NARRAGANSETT CT,Fair,20110204,2145,NARRAGANSETT AV,NARRAGANSETT AV 5100,0,A,0,A,03,C,A,H
127,69,MAIN ST,S 27TH ST,S 28TH ST,Fair,20110206,1547,MAIN ST,S 28TH ST,0,A,3,A,08,A,A,H
128,56.25,FAIRMOUNT AV,CAM DEL RIO SOUTH,MONTEZUMA WB OFF RA,Fair,20110207,1243,FAIRMONT AV,MONTEZUMA RD,0,A,3,A,08,A,A,H
129,31.49,CARLETON ST,SCOTT ST,ROSECRANS ST,Poor,20110207,1551,CARLETON ST,ROSECRANS ST,0,A,3,A,21,A,A,H
130,25.5,INGRAHAM ST,LA CIMA DR,LA MANCHA DR,Poor,20110209,1230,INGRAHAM ST,LA CIMA,0,A,4,A,03,A,A,H
131,32.1,METROPOLITAN DR,MURRAY CANYON RD,MISSION VALLEY RD,Poor,20110202,1139,METROPOLITAN DR,MURRAY CANYON RD,0,A,4,A,08,A,A,H
132,56.58,W G ST,KETTNER BL,PACIFIC HY,Fair,20110205,0238,W G ST,KETTNER BL,0,A,2,A,11,C,A,H
133,79.26,CAM DEL ESTE,CAM DEL RIO NORTH,CAM DE LA REINA,Good,20110209,1053,CAM DEL ESTE,CAMINO DE LA REINA,0,A,4,A,09,A,A,H
134,80.76,CARMEL VIEW RD,CARMEL GROVE RD,CAM MIRA DEL MAR,Good,20110124,0937,CARMEL VIEW RD,CAMINO MIRA DEL MAR,0,A,2,A,09,A,A,H
135,87.67,MONTONGO ST,WESTMORE RD,MONTONGO CR,Good,20110127,1930,MONTONGO ST,MONTONGO CIR,0,A,3,A,03,C,A,H
136,27.16,AKINS AV,STORK ST,64TH ST,Poor,20110128,1731,AKINS AV,STORK ST,0,A,4,A,05,B,A,H
137,61.66,DEL MAR HEIGHTS RD,OLD CARMEL VALLEY RD,CARMEL VALLEY RD,Fair,20110205,1535,DEL MAR HEIGHTS RD,OLD CARMEL VALLEY RD,0,A,4,A,12,A,A,H
138,38.65,W WASHINGTON ST,SAN DIEGO AV,HANCOCK ST,Poor,20110206,0034,W WASHINGTON ST,SAN DIEGO  AV,0,A,4,A,03,C,A,H
139,100,CALLE CRISTOBAL,AVNDA DEL GATO,LORIRAE PL,Good,20110205,1450,CALLE CRISTOBAL,AVNIDA DEL GATO,0,A,4,A,12,A,A,H
140,76.55,MC GUIRE DR,CARMEL COUNTRY RD,CARMEL CREEK RD,Good,20110204,0805,MCGUIRE DR,CARMEL COUNTRY RD,0,A,4,A,10,A,A,H
141,84.57,MORENA BL,TAYLOR ST,FRIARS RD,Good,20110205,0915,MORENA BL,TAYLOR ST,0,A,3,A,08,A,A,H
142,47.97,BAYONNE DR,LA CIMA DR,LA MANCHA DR,Fair,20110205,0207,BAYONNE DR,LA MANCHA DR,0,A,4,A,08,C,A,H
143,57.33,15TH ST,F ST,E ST,Fair,20110204,1230,15TH ST,F ST,0,A,4,A,09,A,A,H
144,79.63,ABBOTT ST,NEWPORT AV,SANTA MONICA AV,Good,20110202,1420,ABBOTT ST,NEWPORT,0,A,4,A,03,A,A,H
145,31.77,NEWPORT AV,EBERS ST,SUNSET CLIFFS BL,Poor,20110210,1500,NEWPOI-AV,SUNSET CLIFFS BL,S,A,0,A,08,A,A,H
146,69,S EUCLID AV,EUCLID PL,LA PAZ DR,Fair,20110225,1646,EUCLID AV,EUCLID AV 300,0,B,4,A,- ,A,A,H
147,31.2,S 47TH ST,OCEAN VIEW BL,T ST,Poor,20110226,1512,S 47TH ST,OCEAN VIEW BL,0,B,3,A,05,A,D,H
148,29.51,ROSECRANS ST,KURTZ ST,HANCOCK ST,Poor,20110224,1120,ROSECRANS ST,KURTZ ST,0,A,4,A,08,A,A,H
149,45.87,EL CAJON BL,TEXAS ST,ARIZONA ST,Fair,20110212,1602,EL CAJON BL,TEXAS ST,0,A,3,A,12,A,A,H
150,87.97,CARMEL MTN RD,VIA CIMA BELLA,SUNDEVIL WY,Good,20110211,1310,CARMEL MOUNTAIN RD,SUNDEVIL WY,0,A,4,A,12,A,A,H
151,49.85,EUCLID AV,LISE AV,HILLTOP DR,Fair,20110210,1130,EUCLID AV,HILLTOP DR,0,A,4,A,03,A,A,H
152,87.11,VIA CAPRI,VIA BARLETTA,HIDDEN VALLEY RD,Good,20110212,1845,VIA CAPRI,VIA BARLETTA,0,A,3,A,03,D,A,H
153,19.29,LINCOLN AV,32ND ST,BANCROFT ST,Poor,20110213,1501,LINCOLN AV,32ND ST,0,A,3,A,06,A,A,H
154,52.44,ROSECRANS ST,XENOPHON ST,YONGE ST,Fair,20110213,1414,ROSECRANS ST,XENOPHON ST,0,A,4,A,21,A,A,H
155,85.9,VOLTAIRE ST,EBERS ST,SUNSET CLIFFS BL,Good,20110212,1758,VOLTAIRE ST,EBERS ST,0,A,4,A,12,C,A,H
156,39,LA JOLLA SHORES DR,AVNDA DE LA PLAYA,CALLE CLARA,Poor,20110212,1234,LA JOLLA SHORES DR 7900,CAMINITO DE LA PLATA 7800,0,A,4,A,- ,A,A,H
157,52.35,GRAND AV,INGRAHAM ST,JEWELL ST,Fair,20110213,2242,GRAND AV,INGRAHAM ST 4300,0,A,4,A,03,C,A,H
158,34.24,VIA FRONTERA,VIA ESPRILLO,WEST BERNARDO DR,Poor,20110113,1329,VIA FRONTERA,W BERNARDO DR,0,A,3,A,09,A,A,H
159,58.91,SPORTS ARENA BL,PACIFIC HY SB OFF RA,ROSECRANS (FTG) ST,Fair,20110115,2129,SPORTS ARENA BL,ROSECRANS,0,A,4,A,08,C,A,H
160,58.7,VILLARRICA WY,ANTIGUA BL,CAM PLAYA CARMEL,Fair,20110115,1517,VILLARRICA WY,CAMINO PLAYA CARMEL,0,A,4,A,08,A,A,H
161,27.3,BEVERLY ST,GENEVA AV,LENOX DR,Poor,20110115,1305,BEVERLY ST,LENOX DR,0,A,3,A,03,A,A,H
162,57,UNIVERSITY AV,FLORIDA ST,ALABAMA ST,Fair,20110115,2105,UNIVERSITY AV,FLORIDA ST,0,A,3,A,09,C,A,H
163,65.55,TORREY PINES RD,CALLE DE LA PLATA,LA JOLLA SHORES DR,Fair,20110111,1009,TORREY PINES RD,CALLE DE LA PLATA,0,A,4,A,04,A,A,H
164,48.89,COZZENS ST,KARENSUE AV,VALOMA PL,Fair,20110115,1814,COZZENS ST,KARENSUE AV,0,A,4,A,08,C,A,H
165,64.37,MIRAMAR RD,MIRAMAR PL,CAM SANTA FE,Fair,20110111,1259,MIRAMAR RD,MIRAMAR WY,0,A,3,A,09,A,A,H
166,36.26,GENESEE AV,CARDINAL RD,RICHLAND ST,Poor,20110111,1025,GENESEE AV,RICHLAND ST,0,A,4,A,12,A,A,H
167,49.13,LYTTON ST,ST CHARLES ST,ROSECRANS ST,Fair,20111114,0715,LYTTON ST,ST CHARLES ST,0,A,4,A,09,A,A,H
168,48.86,CAM RUIZ,GOLD COAST DR,FLANDERS DR,Fair,20110108,1247,CAMINO RUIZ,FLANDERS DR,0,B,3,A,12,A,A,H
169,55.96,HATHAWAY ST,PETIT ST,ECKSTROM AV,Fair,20110114,1725,HATHAWAY ST,ECKSTROM AV,0,A,4,A,09,C,A,H
170,68.9,COLLEGE AV,WENRICH DR,ST THERESE WY,Fair,20110122,1500,COLLEGE AV,SAINT THERESE WY,0,A,3,A,04,A,A,H
