,0,1,2,3
0,14,34.441595,-118.44811200000001,"[34.451932666666664, -118.5778051111111]"
0,14,34.465755,-118.553789,"[34.451932666666664, -118.5778051111111]"
0,14,34.440248,-118.643992,"[34.451932666666664, -118.5778051111111]"
0,14,34.384696999999996,-118.647244,"[34.451932666666664, -118.5778051111111]"
0,14,34.506627,-118.699048,"[34.451932666666664, -118.5778051111111]"
0,14,34.545587,-118.42009499999999,"[34.451932666666664, -118.5778051111111]"
0,14,34.473884000000005,-118.79718100000001,"[34.451932666666664, -118.5778051111111]"
0,15,32.573755,-117.12087199999999,"[32.72217981818182, -117.16210209090909]"
0,15,32.670646000000005,-117.094668,"[32.72217981818182, -117.16210209090909]"
0,15,32.724103,-117.17091200000002,"[32.72217981818182, -117.16210209090909]"
0,15,32.716221999999995,-117.11705,"[32.72217981818182, -117.16210209090909]"
0,15,32.747415000000004,-117.16688300000001,"[32.72217981818182, -117.16210209090909]"
0,15,32.741501,-117.127948,"[32.72217981818182, -117.16210209090909]"
0,15,32.737832,-117.092671,"[32.72217981818182, -117.16210209090909]"
0,15,32.710817999999996,-117.23761299999998,"[32.72217981818182, -117.16210209090909]"
0,15,32.739055,-117.24540400000001,"[32.72217981818182, -117.16210209090909]"
0,15,32.773983,-117.142706,"[32.72217981818182, -117.16210209090909]"
0,15,32.786772,-117.23420700000001,"[32.72217981818182, -117.16210209090909]"
0,15,32.765244,-117.200391,"[32.72217981818182, -117.16210209090909]"
0,15,32.696715999999995,-117.11788100000001,"[32.72217981818182, -117.16210209090909]"
0,15,32.764998,-117.073641,"[32.72217981818182, -117.16210209090909]"
0,15,32.764971,-117.12314599999999,"[32.72217981818182, -117.16210209090909]"
0,15,32.699234000000004,-117.20964199999999,"[32.72217981818182, -117.16210209090909]"
0,15,32.713608,-117.17208899999999,"[32.72217981818182, -117.16210209090909]"
0,15,32.72418,-117.146658,"[32.72217981818182, -117.16210209090909]"
0,15,32.697542999999996,-117.192775,"[32.72217981818182, -117.16210209090909]"
0,15,32.739496,-117.197401,"[32.72217981818182, -117.16210209090909]"
0,15,32.72488,-117.21996200000001,"[32.72217981818182, -117.16210209090909]"
0,15,32.674984,-117.161726,"[32.72217981818182, -117.16210209090909]"
0,16,32.777999,-117.021511,"[32.850415866666665, -117.097245]"
0,16,32.856347,-117.25005800000001,"[32.850415866666665, -117.097245]"
0,16,32.908915,-116.891975,"[32.850415866666665, -117.097245]"
0,16,32.852358,-116.98784199999999,"[32.850415866666665, -117.097245]"
0,16,32.806476,-117.168879,"[32.850415866666665, -117.097245]"
0,16,32.824571999999996,-117.199518,"[32.850415866666665, -117.097245]"
0,16,32.817888,-117.03195600000001,"[32.850415866666665, -117.097245]"
0,16,32.794714,-117.07176399999999,"[32.850415866666665, -117.097245]"
0,16,32.899592,-117.201203,"[32.850415866666665, -117.097245]"
0,16,32.861727,-117.171224,"[32.850415866666665, -117.097245]"
0,16,32.806794000000004,-117.13493000000001,"[32.850415866666665, -117.097245]"
0,16,32.823766,-117.092378,"[32.850415866666665, -117.097245]"
0,16,32.908466,-117.141393,"[32.850415866666665, -117.097245]"
0,16,32.886070000000004,-117.085981,"[32.850415866666665, -117.097245]"
0,16,32.930554,-117.00806299999999,"[32.850415866666665, -117.097245]"
0,17,34.065737,-118.43501599999999,"[34.0441150952381, -118.45208433333333]"
0,17,34.045421000000005,-118.44587299999999,"[34.0441150952381, -118.45208433333333]"
0,17,34.030578000000006,-118.39961299999999,"[34.0441150952381, -118.45208433333333]"
0,17,34.09254,-118.491064,"[34.0441150952381, -118.45208433333333]"
0,17,34.037251,-118.423573,"[34.0441150952381, -118.45208433333333]"
0,17,34.002028,-118.430656,"[34.0441150952381, -118.45208433333333]"
0,17,34.057596999999994,-118.41399799999999,"[34.0441150952381, -118.45208433333333]"
0,17,34.054534000000004,-118.457025,"[34.0441150952381, -118.45208433333333]"
0,17,34.108022999999996,-118.45696399999999,"[34.0441150952381, -118.45208433333333]"
0,17,34.071225,-118.443373,"[34.0441150952381, -118.45208433333333]"
0,17,34.100516999999996,-118.41463,"[34.0441150952381, -118.45208433333333]"
0,17,34.06221,-118.40196599999999,"[34.0441150952381, -118.45208433333333]"
0,17,34.019323,-118.391902,"[34.0441150952381, -118.45208433333333]"
0,17,34.092566999999995,-118.53436299999998,"[34.0441150952381, -118.45208433333333]"
0,17,33.993396000000004,-118.465193,"[34.0441150952381, -118.45208433333333]"
0,17,33.976463,-118.45526699999999,"[34.0441150952381, -118.45208433333333]"
0,17,34.013666,-118.49375,"[34.0441150952381, -118.45208433333333]"
0,17,34.034665999999994,-118.50403899999999,"[34.0441150952381, -118.45208433333333]"
0,17,34.030755,-118.492101,"[34.0441150952381, -118.45208433333333]"
0,17,34.026608,-118.473643,"[34.0441150952381, -118.45208433333333]"
0,17,34.011312,-118.46976200000002,"[34.0441150952381, -118.45208433333333]"
