,OBJECTID,COMMON_NAM,DESIG_USE,ACRES,ADDRESS_LO,THOMAS_BRO,COMMUNITY_,USE_RESTRI,DEDIC_PARK,FULL_NAME,SERV_DIST,UNDEVE,PLAYGROUND,TOT_LOT,BASEB_50_6,BASEB_90,SOFTBALL,MULTIPURP,F_2_BASLET,BASKETB,TENNISCT,SAND_VBALL,FIELD_LIGH,COMFORT_ST,CONCESS_ST,USEABLE_AC,GROSS_ACRE,MAINT_ENT,RECY_WATER,PLAYAREACO,CD,DMS,X_COORD,Y_COORD,YEARACQ,SHAPE_STAR,SHAPE_STLE
23,4005,CHOLLAS CP,Community Park,341.03117625,"6350 College Grove Dr., 92105",1270D6,MID-CITY: EASTERN AREA,DEDIC PK/OS--ORD.,Y,Chollas Lake Community Park,41.0,0.0,4.0,0.0,3.0,0.0,1.0,1.0,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,CP2,N,2.0,4,32 44 05.27124N 117 04 03.52425W,-117.06764563,32.73479757,1945-1980,14855258.6171875,34478.8595289948
24,4006,MEMORIAL CP,Community Park,17.9766662,"2947 OCEAN VIEW BLVD, 92113",1289E5,SOUTHEASTERN SAN DIEGO,DEDIC PK/OS--ORD.,Y,Memorial Community Park,43.0,0.0,1.0,1.0,1.0,0.0,2.0,2.0,,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,CP2,N,3.0,8,32 41 57.68825N 117 07 50.36741W,-117.13065761,32.69935785,1939,783060.448242188,3744.24536632852
25,4007,ENCANTO CP,Community Park,8.87172519,"6508 Wunderlin Ave., 92114",1290D3,ENCANTO,DEDIC PK/OS--ORD.,Y,Encanto Community Park,43.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,,1.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,CP2,N,1.0,4,32 42 56.06877N 117 03 24.87445W,-117.05690957,32.71557466,1941-1976,386450.802734375,4359.71008664717
26,4008,MARTIN L KING CP,Community Park,34.56712045,"6407 SKYLINE DR, 92114",1290D5,ENCANTO,DEDIC PK/OS--ORD.,Y,Martin Luther King Community Park,43.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,,4.0,7.0,0.0,0.0,1.0,1.0,0.0,0.0,CP2,N,2.0,4,32 41 57.15138N 117 03 37.04934W,-117.06029148,32.69920872,1968,1505737.74414063,5255.13172638182
27,4009,SKYLINE HILLS CP,Community Park,10.10990157,"8285 Skyline Dr., 92114",1290H4,SKYLINE-PARADISE HILLS,DEDIC PK/OS--ORD.,Y,Skyline Hills Community Park,42.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,CP2,N,1.0,4,32 42 19.33098N 117 01 30.73115W,-117.0252031,32.70536972,1964-1966,440385.548828125,2718.14448766951
28,4010,SOUTHCREST CP,Community Park,17.49087063,"1297 S 40TH ST, 92113",1289H6,SOUTHEASTERN SAN DIEGO,DEDIC PK/OS--ORD.,Y,Southcrest Community Park,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CP2,N,1.0,9,32 41 36.16390N 117 06 20.14753W,-117.10559654,32.69337886,1949-1972,761899.28125,5200.5462248038
29,4011,PARADISE HILLS CP,Community Park,44.71069277,"6610 Potomac St., 92139",1290E6,SKYLINE-PARADISE HILLS,DEDIC PK/OS--ORD.,Y,Paradise Hills Community Park,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CP2,N,3.0,4,32 41 14.20804N 117 03 13.24877W,-117.05368021,32.68728001,1979-1981,1947589.99511719,9597.0858700526
30,4012,BAY TERRACES CP,Community Park,12.03750034,"7373 Tooma St., 92139",1290G7,SKYLINE-PARADISE HILLS,DEDIC PK/OS--ORD.,Y,Bay Terraces Community Park,42.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,CP2,N,1.0,4,32 40 49.80573N 117 02 08.80782W,-117.03577995,32.68050159,1979,524351.419921875,3036.25935388321
31,4013,EGGER-SOUTH BAY CP,Community Park,8.87587061,"1885 CORONADO SB AVE, 92154",1350A1,OTAY MESA-NESTOR,DEDIC PK/OS--ORD.,Y,Egger-South Bay Community Park,42.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,CP2,N,2.0,8,32 34 31.86636N 117 05 38.06214W,-117.09390615,32.57551843,1969,386631.376953125,2479.60035208194
32,4014,MONTGOMERY-WALLER CP,Community Park,58.87172412,"3020 Coronado Ave., 92154",1330D7,OTAY MESA-NESTOR,SEE L1203 ENTRIES,Y,Montgomery Waller Community Park,42.0,0.0,2.0,1.0,1.0,0.0,4.0,2.0,,2.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,CP2,N,1.0,8,32 34 50.86058N 117 04 07.19929W,-117.06866647,32.58079461,1961-1964,2564442.04980469,6695.89062590858
33,4015,SAN YSIDRO CP,Community Park,2.87903898,"247 E PARK AVE, 92173",1350G4,SAN YSIDRO,MULTIPLE,Y,San Ysidro Community Park,42.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,CP2,N,1.0,8,32 33 17.33253N 117 02 39.47529W,-117.04429869,32.55481459,NA,125410.4375,3602.27810012552
