"OBJECTID","STOP_UID","STOP_AGENCY","STOP_ID","STOP_NAME","STOP_LAT","STOP_LON","STOP_CODE","LOCATION_TYPE","PARENT_STATION","WHEELCHAIR_BOARDING","INTERSECTION_CODE","STOP_PLACE","LONGITUDE","LATITUDE"
3450,MTS_60044,MTS,60044,Palm Av & Beejay Dr,32.58380338,-117.08057332,60044,0,,1,N-E/B,,-117.080561445405,32.5837986347877
3451,MTS_60045,MTS,60045,Main St & Jacqua St,32.5947048,-117.08084149,60045,0,,1,N-E/B,,-117.080829616084,32.5947000464986
3452,MTS_60046,MTS,60046,Main St & Silvas St,32.59466933,-117.07671779,60046,0,,1,N-E/B,,-117.076705908448,32.594664578805
3453,MTS_60047,MTS,60047,Coronado Av & 27th St,32.57638296,-117.07559869,60047,0,,1,N-E/B,,-117.075586810066,32.5763782146185
3454,MTS_60048,MTS,60048,Iris Av & Monterey Pine Dr,32.56908188,-117.0724826,60048,0,,1,N-E/B,,-117.072470722286,32.5690771277908
3455,MTS_60050,MTS,60050,Palm Av & Cochran Av,32.58363839,-117.05869889,60050,0,,1,N-E/B,,-117.058687015044,32.5836336426285
3456,MTS_60052,MTS,60052,South Vista Av & Sunset Ln,32.55803537,-117.04832481,60052,0,beyS,2,F-S/B,svicot,-117.048312934323,32.5580306204188
3457,MTS_60055,MTS,60055,4th St & Palm Av,32.69597386,-117.17855658,60055,0,,1,F-E/B,,-117.178544681535,32.6959691048727
3458,MTS_60056,MTS,60056,4th St & E Av,32.69528574,-117.17686234,60056,0,,1,F-E/B,,-117.176850434028,32.6952809807153
3459,MTS_60057,MTS,60057,4th St & Orange Av,32.6942001,-117.17429608,60057,0,,1,F-E/B,,-117.174284174898,32.6941953400263
3460,MTS_60058,MTS,60058,1st St & B Av,32.69762037,-117.16973563,60058,0,,1,F-E/B,1stfer,-117.169723732438,32.6976156115829
3461,MTS_60061,MTS,60061,National Av & 16th St,32.70415242,-117.15015268,60061,0,,2,N-S/B,,-117.150140777737,32.7041476601084
3462,MTS_60066,MTS,60066,Imperial Beach Bl & Seacoast Dr,32.57655379,-117.13067995,60066,0,,1,F-E/B,,-117.130668060312,32.5765490474076
3463,MTS_60067,MTS,60067,Palm Av & 2nd St,32.58385836,-117.12926923,60067,0,,1,F-E/B,,-117.129257347126,32.5838536182806
3464,MTS_60068,MTS,60068,National City Bl & 30th St,32.65745665,-117.09962088,60068,0,,1,F-N/B,,-117.099608993865,32.6574518899824
3465,MTS_60069,MTS,60069,Palm Av & 4th St,32.58384983,-117.12545142,60069,0,,1,N-E/B,,-117.125439538768,32.5838450868696
3466,MTS_60070,MTS,60070,Imperial Beach Bl & 4th St,32.57652149,-117.12363884,60070,0,,1,F-E/B,imp4th,-117.123626959091,32.5765167478462
3467,MTS_60072,MTS,60072,Palm Av & 5th St,32.58384225,-117.12187061,60072,0,,1,F-E/B,,-117.1218587246,32.5838375073021
3468,MTS_60073,MTS,60073,National City Bl & 33rd St,32.65411266,-117.09828909,60073,0,,1,N-N/B,,-117.098277205793,32.6541079000952
3469,MTS_60074,MTS,60074,Palm Av & Rainbow Dr,32.58379664,-117.12054889,60074,0,,1,F-E/B,,-117.120537005014,32.583791889139
3470,MTS_60077,MTS,60077,Palm Av & 9th St,32.58374408,-117.11396151,60077,0,,1,F-E/B,pal9th,-117.113949626574,32.5837393324106
3471,MTS_60078,MTS,60078,Palm Av & 13th St,32.58371434,-117.10522852,60078,0,,1,F-E/B,,-117.10521664077,32.583709589119
3472,MTS_60079,MTS,60079,Satellite Bl & Thermal Av,32.56908822,-117.09668667,60079,0,,1,F-E/B,,-117.096674792348,32.5690834768987
3473,MTS_60080,MTS,60080,Woodlawn Av & F St,32.63760151,-117.0964282,60080,0,,1,F-N/B,,-117.096416313511,32.6375967591931
3474,MTS_60081,MTS,60081,Coronado Av & 18th St,32.5764186,-117.09466001,60081,0,,1,M-Street-E/B,,-117.094648127003,32.576413850747
3475,MTS_60082,MTS,60082,Coronado Av & Saturn Bl,32.5763942,-117.09220249,60082,0,,1,F-E/B,satcor,-117.092190609584,32.5763894557699
3476,MTS_60083,MTS,60083,Coronado Av & Green Bay St,32.57640604,-117.08805086,60083,0,,1,F-E/B,,-117.088038985016,32.576401289129
