,Neighborhood,Unnamed: 0.1.1.1,closed,closed_date,coordinates,duplicate_verified,lat,long,mobile_web_status,open,override_duplicate,requested_datetime,sap_problem_type,service_name,status_description,Duration to Close (Hrs),Neighborhood Prices
3761,Downtown,,1.0,2017-03-09 00:03:00,32.74447315605053-117.0535387034224,1.0,32.7444731561,-117.05353870299999,Closed,0.0,0.0,2017-02-28 16:23:00,Pothole,Pothole,Closed,199.66666666666663,0.0
3762,Mission Bay,,1.0,2017-03-31 00:03:00,32.7198718-117.16828459999999,0.0,32.7198718,-117.16828459999999,Closed,0.0,0.0,2017-02-28 16:14:00,Pothole,Pothole,Closed,727.8166666666667,0.0
3763,Point Loma,,1.0,2017-05-02 00:02:00,32.765413-117.208687,0.0,32.765413,-117.20868700000001,Closed,0.0,0.0,2017-02-28 16:12:00,Pothole,Pothole,Closed,1495.833333333333,0.0
3767,Carmel Mountain Ranch,,1.0,2017-03-17 00:02:00,32.74827509498097-117.16044734340507,0.0,32.748275095,-117.16044734299999,Closed,0.0,0.0,2017-02-28 15:42:00,Pothole,Pothole,Closed,392.33333333333326,0.0
3769,Ocean Beach,,1.0,2017-03-17 00:02:00,32.7485022663277-117.15347320763077,0.0,32.7485022663,-117.153473208,Closed,0.0,0.0,2017-02-28 15:40:00,Pothole,Pothole,Closed,392.36666666666673,0.0
3778,Downtown,,1.0,2017-05-13 00:02:00,32.74329-117.181184,0.0,32.74329,-117.181184,Closed,0.0,0.0,2017-02-28 15:23:00,Pothole,Pothole,Closed,1760.65,0.0
3779,Point Loma,,1.0,2017-03-17 00:02:00,32.71279030000001-117.1553379,0.0,32.7127903,-117.15533789999999,Closed,0.0,0.0,2017-02-28 15:21:00,Pothole,Pothole,Closed,392.6833333333333,0.0
3792,Point Loma,,1.0,2017-03-10 00:03:00,32.751573900901285-117.2048458785431,1.0,32.7515739009,-117.20484587899999,Closed,0.0,0.0,2017-02-28 14:29:00,Pothole,Pothole,Closed,225.56666666666663,0.0
3794,Clairemont,,1.0,2017-03-07 00:02:00,32.749604429633635-117.09873376539304,0.0,32.7496044296,-117.098733765,Closed,0.0,0.0,2017-02-28 14:16:00,Pothole,Pothole,Closed,153.76666666666668,0.0
3795,Clairemont,,1.0,2017-03-28 00:03:00,32.81993637858638-117.1799530575541,1.0,32.8199363786,-117.179953058,Closed,0.0,0.0,2017-02-28 14:07:00,Pothole,Pothole,Closed,657.9333333333333,0.0
3801,Point Loma,,1.0,2017-03-11 00:02:00,32.9235505-117.15782860000002,0.0,32.9235505,-117.15782859999999,Closed,0.0,0.0,2017-02-28 13:23:00,Pothole,Pothole,Closed,250.65,0.0
3802,Downtown,,1.0,2017-04-27 00:02:00,32.726720074939394-117.21928148193359,0.0,32.7267200749,-117.21928148200001,Closed,0.0,1.0,2017-02-28 13:21:00,Pothole,Pothole,Closed,1378.6833333333334,0.0
3803,Downtown,,1.0,2017-03-17 00:02:00,32.718199381367974-117.16349153442383,0.0,32.7181993814,-117.163491534,Closed,0.0,1.0,2017-02-28 13:15:00,Pothole,Pothole,Closed,394.78333333333336,0.0
3805,,,1.0,2017-03-02 00:02:00,32.94690304013101-117.07820677472104,1.0,32.946903040100004,-117.078206775,Closed,0.0,0.0,2017-02-28 13:01:00,Pothole,Pothole,Closed,35.016666666666666,0.0
3808,Downtown,,1.0,2017-03-23 00:02:00,32.74846942365589-117.13372974319458,0.0,32.7484694237,-117.13372974299999,Closed,0.0,0.0,2017-02-28 12:50:00,Pothole,Pothole,Closed,539.2,0.0
3812,Carmel Mountain Ranch,,1.0,2017-03-10 00:03:00,32.7902385439151-117.10111408157348,0.0,32.790238543899996,-117.10111408200001,Closed,0.0,0.0,2017-02-28 12:16:00,Pothole,Pothole,Closed,227.78333333333333,0.0
3813,Downtown,,1.0,2017-03-02 00:02:00,32.9764486-117.08338559999999,1.0,32.976448600000005,-117.08338559999999,Closed,0.0,0.0,2017-02-28 12:15:00,Pothole,Pothole,Closed,35.78333333333333,0.0
3814,Downtown,,1.0,2017-03-31 00:03:00,32.72515396233981-117.1698343119972,0.0,32.7251539623,-117.169834312,Closed,0.0,1.0,2017-02-28 12:14:00,Pothole,Pothole,Closed,731.8166666666667,0.0
3816,Clairemont,,1.0,2017-03-22 00:03:00,32.72105603800231-117.0512428750657,0.0,32.721056038,-117.051242875,Closed,0.0,0.0,2017-02-28 12:09:00,Pothole,Pothole,Closed,515.9,0.0
3818,Carmel Mountain Ranch,,1.0,2017-03-30 00:03:00,32.90138462676295-117.22306909857786,1.0,32.901384626799995,-117.223069099,Closed,0.0,0.0,2017-02-28 12:05:00,Pothole,Pothole,Closed,707.9666666666667,0.0
3819,Clairemont,,1.0,2017-03-17 08:47:00,32.98547460971729-117.07557956293,1.0,32.9854746097,-117.07557956299999,Closed,0.0,0.0,2017-02-28 12:02:00,Pothole,Pothole,Closed,404.75,0.0
3822,Point Loma,,1.0,2017-03-07 00:02:00,32.76518751555394-117.06686614156959,1.0,32.7651875156,-117.06686614200001,Closed,0.0,0.0,2017-02-28 11:32:00,Pothole,Pothole,Closed,156.5,0.0
3824,Clairemont,,1.0,2017-03-07 00:02:00,32.7348488-117.0933551,0.0,32.7348488,-117.0933551,Closed,0.0,0.0,2017-02-28 11:22:00,Pothole,Pothole,Closed,156.66666666666666,0.0
3825,Downtown,,1.0,2017-03-11 00:02:00,32.81662762063198-117.1623308133493,0.0,32.8166276206,-117.162330813,Closed,0.0,0.0,2017-02-28 11:12:00,Pothole,Pothole,Closed,252.83333333333331,0.0
3827,Downtown,,1.0,2017-03-30 00:03:00,32.90140778239779-117.2230147703429,1.0,32.9014077824,-117.22301477,Closed,0.0,0.0,2017-02-28 11:05:00,Pothole,Pothole,Closed,708.9666666666667,0.0
3828,Ocean Beach,,1.0,2017-03-17 00:03:00,32.72299-117.151697,1.0,32.72299,-117.151697,Closed,0.0,0.0,2017-02-28 11:05:00,Pothole,Pothole,Closed,396.9666666666666,0.0
3836,Point Loma,,1.0,2017-03-15 00:02:00,33.03199806285232-117.08365236235113,0.0,33.0319980629,-117.08365236200001,Closed,0.0,0.0,2017-02-28 09:41:00,Pothole,Pothole,Closed,350.35,0.0
3842,Clairemont,,1.0,2017-04-25 00:02:00,32.815488-117.192796,1.0,32.815488,-117.192796,Closed,0.0,0.0,2017-02-28 08:52:00,Pothole,Pothole,Closed,1335.1666666666667,0.0
3858,Clairemont,,1.0,2017-03-07 00:02:00,32.7607752-117.09920829999999,0.0,32.7607752,-117.09920829999999,Closed,0.0,0.0,2017-02-28 07:35:00,Pothole,Pothole,Closed,160.45,0.0
3859,Point Loma,,1.0,2017-03-28 00:03:00,32.81981150622742-117.1801449359555,1.0,32.8198115062,-117.180144936,Closed,0.0,0.0,2017-02-28 07:32:00,Pothole,Pothole,Closed,664.5166666666668,0.0
3861,Carmel Mountain Ranch,,1.0,2017-04-25 00:02:00,32.773806-117.204804,0.0,32.773806,-117.20480400000001,Closed,0.0,0.0,2017-02-28 07:29:00,Pothole,Pothole,Closed,1336.55,0.0
3862,,,1.0,2017-03-07 00:02:00,32.76507525643471-117.0968225061528,0.0,32.765075256399996,-117.09682250600001,Closed,0.0,1.0,2017-02-28 07:25:00,Pothole,Pothole,Closed,160.61666666666667,0.0
3866,Mission Valley,,1.0,2017-03-02 00:02:00,32.89850656198359-117.1008736538614,1.0,32.898506562,-117.100873654,Closed,0.0,0.0,2017-02-28 07:19:00,Pothole,Pothole,Closed,40.71666666666667,0.0
3871,,,1.0,2017-04-25 00:02:00,32.936527-117.238281,0.0,32.936527000000005,-117.238281,Closed,0.0,0.0,2017-02-28 06:53:00,Pothole,Pothole,Closed,1337.15,0.0
3874,,,1.0,2017-03-12 00:01:00,32.75097169715832-117.20536475961916,1.0,32.7509716972,-117.20536476,Closed,0.0,0.0,2017-02-28 06:33:00,Pothole,Pothole,Closed,281.46666666666664,0.0
3875,Point Loma,,1.0,2017-02-28 06:13:00,32.740192659452894-117.18364458034006,0.0,32.740192659499996,-117.18364458,Closed,0.0,0.0,2017-02-28 06:04:00,Pothole,Pothole,Closed,0.15,0.0
3879,Rancho Peñasquitos,,1.0,2017-03-31 00:03:00,32.7827648-117.23663690000001,1.0,32.782764799999995,-117.2366369,Closed,0.0,0.0,2017-02-28 00:58:00,Pothole,Pothole,Closed,743.0833333333335,0.0
3880,Mount Hope,,1.0,2017-03-15 00:02:00,32.95627467854968-117.1100816495194,0.0,32.9562746785,-117.11008165,Closed,0.0,0.0,2017-02-27 23:51:00,Pothole,Pothole,Closed,360.1833333333333,0.0
3882,Point Loma,,1.0,2017-04-25 00:02:00,32.813817-117.194704,1.0,32.813817,-117.194704,Closed,0.0,0.0,2017-02-27 22:19:00,Pothole,Pothole,Closed,1345.7166666666667,0.0
3885,Carmel Mountain Ranch,,1.0,2017-03-17 00:02:00,32.7494654327769-117.15925990052494,0.0,32.7494654328,-117.159259901,Closed,0.0,1.0,2017-02-27 20:26:00,Pothole,Pothole,Closed,411.6,0.0
3886,Carmel Mountain Ranch,,1.0,2017-03-07 00:02:00,32.74967614730438-117.1111229564995,1.0,32.7496761473,-117.111122956,Closed,0.0,0.0,2017-02-27 18:43:00,Pothole,Pothole,Closed,173.31666666666663,0.0
3891,Clairemont,,1.0,2017-02-28 00:02:00,32.85470176491221-117.2050041520197,1.0,32.8547017649,-117.205004152,Closed,0.0,0.0,2017-02-27 16:51:00,Pothole,Pothole,Closed,7.183333333333334,0.0
3893,Ocean Beach,,1.0,2017-04-26 00:02:00,32.779877307113196-117.23630981879808,0.0,32.7798773071,-117.236309819,Closed,0.0,1.0,2017-02-27 16:28:00,Pothole,Pothole,Closed,1375.5666666666666,0.0
3895,Clairemont,,1.0,2017-03-10 00:03:00,32.7896558750795-117.1448336887037,1.0,32.7896558751,-117.144833689,Closed,0.0,0.0,2017-02-27 16:17:00,Pothole,Pothole,Closed,247.76666666666668,0.0
3898,Barrio Logan,,1.0,2017-04-06 00:03:00,32.831532-117.179642,1.0,32.831532,-117.17964199999999,Closed,0.0,0.0,2017-02-27 16:11:00,Pothole,Pothole,Closed,895.8666666666667,0.0
3899,Point Loma,,1.0,2017-03-21 00:02:00,32.70477780609644-117.1583789774376,0.0,32.704777806100005,-117.15837897700001,Closed,0.0,0.0,2017-02-27 16:08:00,Pothole,Pothole,Closed,511.9,0.0
3903,Point Loma,,1.0,2017-04-25 00:02:00,32.81281310000001-117.17206069999997,0.0,32.8128131,-117.1720607,Closed,0.0,0.0,2017-02-27 15:58:00,Pothole,Pothole,Closed,1352.0666666666666,0.0
3910,Point Loma,,1.0,2017-03-17 00:02:00,32.750009342802-117.1601893874274,0.0,32.75000934280001,-117.160189387,Closed,0.0,0.0,2017-02-27 15:27:00,Pothole,Pothole,Closed,416.58333333333326,0.0
3911,Downtown,,1.0,2017-04-13 00:02:00,32.7514445050783-117.20505845128173,1.0,32.751444505100004,-117.205058451,Closed,0.0,0.0,2017-02-27 15:19:00,Pothole,Pothole,Closed,1064.7166666666667,0.0
3915,MIddletown,,1.0,2017-05-09 00:03:00,32.93735018089117-117.12719700291082,0.0,32.937350180900005,-117.12719700299999,Closed,0.0,0.0,2017-02-27 14:53:00,Pothole,Pothole,Closed,1689.166666666667,0.0
3916,Ocean Beach,,1.0,2017-05-02 00:02:00,32.735966606005924-117.178235336631,0.0,32.735966606,-117.178235337,Closed,0.0,0.0,2017-02-27 14:10:00,Pothole,Pothole,Closed,1521.8666666666666,0.0
3924,,,1.0,2017-03-04 00:03:00,32.71986928482512-117.16747193260193,0.0,32.7198692848,-117.16747193299999,Closed,0.0,0.0,2017-02-27 12:33:00,Pothole,Pothole,Closed,107.5,0.0
3926,Rancho Peñasquitos,,1.0,2017-03-30 00:03:00,32.846242307252446-117.21979311055718,1.0,32.8462423073,-117.219793111,Closed,0.0,0.0,2017-02-27 12:20:00,Pothole,Pothole,Closed,731.7166666666667,0.0
3930,Point Loma,,1.0,2017-03-30 00:03:00,32.866830783128044-117.21356824681386,1.0,32.8668307831,-117.21356824700001,Closed,0.0,0.0,2017-02-27 11:01:00,Pothole,Pothole,Closed,733.0333333333333,0.0
3938,Point Loma,,1.0,2017-03-30 00:03:00,32.84634999999999-117.22152,1.0,32.84635,-117.22152,Closed,0.0,0.0,2017-02-27 09:01:00,Pothole,Pothole,Closed,735.0333333333333,0.0
3944,Point Loma,,1.0,2017-03-30 00:03:00,32.8683767-117.2150244,0.0,32.8683767,-117.21502439999999,Closed,0.0,1.0,2017-02-27 06:59:00,Pothole,Pothole,Closed,737.0666666666667,0.0
3946,Downtown,,1.0,2017-04-15 00:02:00,32.77513953338404-117.0982053749803,0.0,32.7751395334,-117.098205375,Closed,0.0,0.0,2017-02-27 06:33:00,Pothole,Pothole,Closed,1121.4833333333333,0.0
3949,Point Loma,,1.0,2017-03-07 00:02:00,32.76462819085761-117.0669203977903,1.0,32.7646281909,-117.066920398,Closed,0.0,0.0,2017-02-26 20:35:00,Pothole,Pothole,Closed,195.45,0.0
3950,Point Loma,,1.0,2017-03-12 00:01:00,32.72596808236867-117.2208200176354,0.0,32.725968082399994,-117.220820018,Closed,0.0,1.0,2017-02-26 20:31:00,Pothole,Pothole,Closed,315.5,0.0
3952,Point Loma,,1.0,2017-04-13 00:02:00,32.7514805979644-117.20488678990478,1.0,32.751480598,-117.20488679,Closed,0.0,0.0,2017-02-26 19:52:00,Pothole,Pothole,Closed,1084.1666666666667,0.0
3953,Point Loma,,1.0,2017-03-10 00:03:00,32.75293704626693-117.2083689042297,1.0,32.7529370463,-117.208368904,Closed,0.0,0.0,2017-02-26 19:51:00,Pothole,Pothole,Closed,268.2,0.0
3955,Point Loma,,1.0,2017-03-09 00:03:00,32.92411764800105-117.1383602454829,0.0,32.924117648,-117.138360245,Closed,0.0,1.0,2017-02-26 19:12:00,Pothole,Pothole,Closed,244.85,0.0
3956,Point Loma,,1.0,2017-03-17 00:02:00,32.73286829675119-117.2223169547228,0.0,32.7328682968,-117.222316955,Closed,0.0,0.0,2017-02-26 17:55:00,Pothole,Pothole,Closed,438.11666666666673,0.0
3957,Downtown,,1.0,2017-03-17 00:03:00,32.72799586086357-117.2278603260887,1.0,32.7279958609,-117.227860326,Closed,0.0,0.0,2017-02-26 17:53:00,Pothole,Pothole,Closed,438.16666666666674,0.0
3959,Downtown,,1.0,2017-03-21 00:02:00,32.71808527732151-117.1296471344359,0.0,32.7180852773,-117.129647134,Closed,0.0,0.0,2017-02-26 16:40:00,Pothole,Pothole,Closed,535.3666666666667,0.0
3960,Point Loma,,1.0,2017-02-26 18:56:00,32.715738-117.16108380000003,0.0,32.715738,-117.1610838,Closed,0.0,0.0,2017-02-26 16:11:00,Pothole,Pothole,Closed,2.75,0.0
3966,Point Loma,,1.0,2017-03-30 00:03:00,32.846134-117.22139700000002,0.0,32.846134,-117.221397,Closed,0.0,1.0,2017-02-26 12:34:00,Pothole,Pothole,Closed,755.4833333333332,0.0
3978,Point Loma,,1.0,2017-04-12 00:03:00,32.90100175681867-117.095654773615,0.0,32.9010017568,-117.095654774,Closed,0.0,1.0,2017-02-26 00:05:00,Pothole,Pothole,Closed,1079.9666666666667,0.0
3979,Downtown,,1.0,2017-03-10 00:03:00,32.752537-117.206605,1.0,32.752537,-117.20660500000001,Closed,0.0,0.0,2017-02-25 23:44:00,Pothole,Pothole,Closed,288.31666666666666,0.0
3984,Carmel Mountain Ranch,,1.0,2017-04-13 00:02:00,32.75152820224729-117.2049391752454,1.0,32.7515282022,-117.204939175,Closed,0.0,0.0,2017-02-25 18:33:00,Pothole,Pothole,Closed,1109.4833333333333,0.0
3986,Point Loma,,1.0,2017-04-19 00:03:00,32.99424389349495-117.0682970761469,0.0,32.9942438935,-117.06829707600001,Closed,0.0,0.0,2017-02-25 17:55:00,Pothole,Pothole,Closed,1254.1333333333334,0.0
3987,Downtown,,1.0,2017-03-10 00:03:00,32.75322949579028-117.2087379704211,0.0,32.7532294958,-117.20873797,Closed,0.0,1.0,2017-02-25 17:54:00,Pothole,Pothole,Closed,294.15,0.0
3990,Balboa Park,,1.0,2017-03-03 00:02:00,32.74542266769187-117.19946460185241,0.0,32.7454226677,-117.199464602,Closed,0.0,0.0,2017-02-25 17:19:00,Pothole,Pothole,Closed,126.71666666666668,0.0
3992,Downtown,,1.0,2017-03-09 00:03:00,32.74217442146757-117.0565178153264,0.0,32.7421744215,-117.056517815,Closed,0.0,1.0,2017-02-25 16:04:00,Pothole,Pothole,Closed,271.98333333333335,0.0
3993,,,1.0,2017-03-31 00:03:00,32.70683154214588-117.1600627962693,1.0,32.7068315421,-117.160062796,Closed,0.0,0.0,2017-02-25 15:56:00,Pothole,Pothole,Closed,800.1166666666667,0.0
3994,Point Loma,,1.0,2017-03-12 00:01:00,32.72753479815813-117.1792525747691,1.0,32.727534798200004,-117.179252575,Closed,0.0,0.0,2017-02-25 15:47:00,Pothole,Pothole,Closed,344.2333333333333,0.0
3999,Barrio Logan,,1.0,2017-04-13 00:02:00,32.75170196316461-117.2045595758755,1.0,32.7517019632,-117.20455957600001,Closed,0.0,0.0,2017-02-25 14:14:00,Pothole,Pothole,Closed,1113.8,0.0
4004,Point Loma,,1.0,2017-05-16 00:02:00,32.77900211242006-117.17027188729838,0.0,32.7790021124,-117.17027188700001,Closed,0.0,1.0,2017-02-25 12:58:00,Pothole,Pothole,Closed,1907.0666666666666,0.0
4006,Point Loma,,1.0,2017-04-13 00:02:00,32.75151718706388-117.2049549877566,1.0,32.7515171871,-117.204954988,Closed,0.0,0.0,2017-02-25 12:30:00,Pothole,Pothole,Closed,1115.5333333333333,0.0
4008,Clairemont,,1.0,2017-03-04 00:03:00,32.707254-117.161184,1.0,32.707254,-117.161184,Closed,0.0,0.0,2017-02-25 12:15:00,Pothole,Pothole,Closed,155.8,0.0
4021,Miramar,,1.0,2017-03-31 00:03:00,32.7096245-117.1491709,0.0,32.7096245,-117.1491709,Closed,0.0,0.0,2017-02-25 07:07:00,Pothole,Pothole,Closed,808.9333333333333,0.0
4022,Miramar,,1.0,2017-05-23 00:03:00,32.885918-117.162453,1.0,32.885918,-117.162453,Closed,0.0,0.0,2017-02-25 06:34:00,Pothole,Pothole,Closed,2081.483333333333,0.0
4025,Point Loma,,1.0,2017-03-31 00:03:00,32.75012321690411-117.1579334352318,1.0,32.7501232169,-117.157933435,Closed,0.0,0.0,2017-02-24 21:35:00,Pothole,Pothole,Closed,818.4666666666667,0.0
4027,Carmel Mountain Ranch,,1.0,2017-03-10 00:03:00,32.810065-117.114828,0.0,32.810065,-117.114828,Closed,0.0,0.0,2017-02-24 20:26:00,Pothole,Pothole,Closed,315.6166666666667,0.0
4042,Rancho Peñasquitos,,1.0,2017-03-02 00:02:00,32.791905-117.093821,0.0,32.791905,-117.09382099999999,Closed,0.0,0.0,2017-02-24 15:09:00,Pothole,Pothole,Closed,128.88333333333333,0.0
4044,Miramar,,1.0,2017-03-07 00:02:00,32.762494-117.067007,1.0,32.762494000000004,-117.067007,Closed,0.0,0.0,2017-02-24 14:36:00,Pothole,Pothole,Closed,249.4333333333333,0.0
4054,Point Loma,,1.0,2017-03-11 00:02:00,32.81707474546464-117.15645872900599,0.0,32.8170747455,-117.156458729,Closed,0.0,0.0,2017-02-24 13:15:00,Pothole,Pothole,Closed,346.78333333333336,0.0
4056,Miramar,,1.0,2017-03-11 00:02:00,32.921413-117.144127,0.0,32.921413,-117.144127,Closed,0.0,1.0,2017-02-24 13:01:00,Pothole,Pothole,Closed,347.01666666666665,0.0
4060,Clairemont,,1.0,2017-03-11 00:02:00,32.81934805028435-117.15486555023193,0.0,32.8193480503,-117.15486555,Closed,0.0,0.0,2017-02-24 12:14:00,Pothole,Pothole,Closed,347.8,0.0
4061,Point Loma,,1.0,2017-04-26 00:02:00,32.83716171885155-117.1969180373617,0.0,32.8371617189,-117.196918037,Closed,0.0,0.0,2017-02-24 12:03:00,Pothole,Pothole,Closed,1451.9833333333331,0.0
4063,Clairemont,,1.0,2017-05-04 00:02:00,32.912637-117.143839,0.0,32.912637,-117.14383899999999,Closed,0.0,1.0,2017-02-24 11:31:00,Pothole,Pothole,Closed,1644.5166666666669,0.0
4064,Clairemont,,1.0,2017-03-29 00:03:00,32.833867-117.202954,1.0,32.833867,-117.202954,Closed,0.0,0.0,2017-02-24 11:13:00,Pothole,Pothole,Closed,780.8333333333335,0.0
4065,Miramar,,1.0,2017-03-08 00:03:00,32.7547245502111-117.0790022759127,0.0,32.7547245502,-117.079002276,Closed,0.0,0.0,2017-02-24 11:08:00,Pothole,Pothole,Closed,276.9166666666667,0.0
4076,Rancho Peñasquitos,,1.0,2017-05-23 00:03:00,33.00223524685297-117.08934620965,1.0,33.0022352469,-117.08934621,Closed,0.0,0.0,2017-02-24 09:27:00,Pothole,Pothole,Closed,2102.6,0.0
4080,Clairemont,,1.0,2017-05-11 00:02:00,32.81722252656974-117.1809949228516,0.0,32.8172225266,-117.18099492299999,Closed,0.0,0.0,2017-02-24 08:45:00,Pothole,Pothole,Closed,1815.283333333333,0.0
4081,Rancho Peñasquitos,,1.0,2017-05-10 00:03:00,32.82037481970784-117.1711641086432,1.0,32.8203748197,-117.171164109,Closed,0.0,0.0,2017-02-24 08:34:00,Pothole,Pothole,Closed,1791.4833333333331,0.0
4083,Downtown,,1.0,2017-03-03 10:20:00,32.94635041967407-117.1037875726559,1.0,32.946350419699996,-117.10378757299999,Closed,0.0,0.0,2017-02-24 08:17:00,Pothole,Pothole,Closed,170.05,0.0
4092,Miramar,,1.0,2017-03-04 00:03:00,32.706747-117.160194,0.0,32.706747,-117.16019399999999,Closed,0.0,0.0,2017-02-24 06:30:00,Pothole,Pothole,Closed,185.55,0.0
4099,Miramar,,1.0,2017-03-07 00:02:00,32.751533-117.096609,0.0,32.751533,-117.09660900000002,Closed,0.0,0.0,2017-02-23 18:14:00,Pothole,Pothole,Closed,269.8,0.0
4101,Downtown,,1.0,2017-04-07 00:02:00,32.565971754863746-117.0511928073883,0.0,32.5659717549,-117.051192807,Closed,0.0,0.0,2017-02-23 17:29:00,Pothole,Pothole,Closed,1014.55,0.0
4106,Barrio Logan,,1.0,2017-03-28 00:03:00,32.80964780164876-117.01218684328954,0.0,32.8096478016,-117.012186843,Closed,0.0,0.0,2017-02-23 15:46:00,Pothole,Pothole,Closed,776.2833333333333,0.0
4108,Barrio Logan,,1.0,2017-03-24 00:02:00,32.80964109468948-117.04250073956696,1.0,32.8096410947,-117.04250074,Closed,0.0,0.0,2017-02-23 15:24:00,Pothole,Pothole,Closed,680.6333333333333,0.0
4115,Clairemont,,1.0,2017-03-04 00:03:00,32.75525998899277-117.14378119336529,1.0,32.755259989,-117.143781193,Closed,0.0,0.0,2017-02-23 13:56:00,Pothole,Pothole,Closed,202.11666666666667,0.0
4117,Birdland,,1.0,2017-03-02 00:02:00,32.920233-117.081638,0.0,32.920233,-117.08163799999998,Closed,0.0,0.0,2017-02-23 13:43:00,Pothole,Pothole,Closed,154.31666666666666,0.0
4118,Bankers Hill,,1.0,2017-05-09 00:03:00,32.7963826-117.155124,1.0,32.7963826,-117.155124,Closed,0.0,0.0,2017-02-23 13:22:00,Pothole,Pothole,Closed,1786.6833333333334,0.0
4119,Carmel Mountain Ranch,,1.0,2017-03-21 00:02:00,32.727198529656256-117.16392023691532,0.0,32.7271985297,-117.16392023700001,Closed,0.0,1.0,2017-02-23 13:11:00,Pothole,Pothole,Closed,610.85,0.0
4122,Miramar,,1.0,2017-03-14 00:02:00,32.87543632144867-117.24374453928681,1.0,32.875436321399995,-117.24374453899999,Closed,0.0,0.0,2017-02-23 12:55:00,Pothole,Pothole,Closed,443.11666666666673,0.0
4123,Miramar,,1.0,2017-03-11 00:02:00,32.88559683135979-117.1666737088162,0.0,32.8855968314,-117.166673709,Closed,0.0,1.0,2017-02-23 12:45:00,Pothole,Pothole,Closed,371.28333333333336,0.0
4124,Miramar,,1.0,2017-03-09 00:03:00,32.88562520410203-117.1658693813879,0.0,32.8856252041,-117.16586938100001,Closed,0.0,0.0,2017-02-23 12:43:00,Pothole,Pothole,Closed,323.3333333333333,0.0
4125,Miramar,,1.0,2017-03-09 00:03:00,32.88577192931704-117.1639435553152,1.0,32.8857719293,-117.163943555,Closed,0.0,0.0,2017-02-23 12:41:00,Pothole,Pothole,Closed,323.3666666666667,0.0
4127,Miramar,,1.0,2017-03-10 00:03:00,32.803398-117.086393,1.0,32.803398,-117.08639299999999,Closed,0.0,0.0,2017-02-23 12:39:00,Pothole,Pothole,Closed,347.4,0.0
4128,Miramar,,1.0,2017-05-23 00:03:00,32.88587033286028-117.1615472530175,1.0,32.8858703329,-117.161547253,Closed,0.0,0.0,2017-02-23 12:37:00,Pothole,Pothole,Closed,2123.433333333333,0.0
4133,Downtown,,1.0,2017-03-03 00:02:00,32.785703-117.195857,0.0,32.785703000000005,-117.195857,Closed,0.0,0.0,2017-02-23 11:47:00,Pothole,Pothole,Closed,180.25,0.0
4134,Downtown,,1.0,2017-03-17 00:03:00,32.722354-117.152164,1.0,32.722353999999996,-117.15216399999998,Closed,0.0,0.0,2017-02-23 11:38:00,Pothole,Pothole,Closed,516.4166666666666,0.0
4135,,,1.0,2017-03-17 00:02:00,32.723027-117.151637,0.0,32.723027,-117.15163700000001,Closed,0.0,0.0,2017-02-23 11:36:00,Pothole,Pothole,Closed,516.4333333333333,0.0
4140,Point Loma,,1.0,2017-03-10 00:03:00,32.80964244638213-117.14448945676921,0.0,32.8096424464,-117.144489457,Closed,0.0,0.0,2017-02-23 10:44:00,Pothole,Pothole,Closed,349.31666666666666,0.0
4141,Point Loma,,1.0,2017-03-12 00:01:00,32.75581426995725-117.22095518035889,1.0,32.75581427,-117.22095518,Closed,0.0,0.0,2017-02-23 10:44:00,Pothole,Pothole,Closed,397.28333333333336,0.0
4147,Downtown,,1.0,2017-03-10 00:03:00,32.79819785280376-117.14256057649519,0.0,32.7981978528,-117.14256057600001,Closed,0.0,0.0,2017-02-23 10:32:00,Pothole,Pothole,Closed,349.51666666666665,0.0
4151,Bankers Hill,,1.0,2017-03-02 00:02:00,33.018215156183494-117.05658388644791,0.0,33.0182151562,-117.056583886,Closed,0.0,0.0,2017-02-23 09:42:00,Pothole,Pothole,Closed,158.33333333333334,0.0
4152,Point Loma,,1.0,2017-03-04 00:03:00,32.72724356557938-117.16666726989746,1.0,32.7272435656,-117.16666727,Closed,0.0,0.0,2017-02-23 09:31:00,Pothole,Pothole,Closed,206.53333333333333,0.0
4153,Point Loma,,1.0,2017-03-17 00:03:00,32.72882786377872-117.186767998584,1.0,32.7288278638,-117.186767999,Closed,0.0,0.0,2017-02-23 09:28:00,Pothole,Pothole,Closed,518.5833333333334,0.0
4155,Point Loma,,1.0,2017-03-10 00:03:00,32.7977996-117.07109650000001,0.0,32.797799600000005,-117.07109650000001,Closed,0.0,0.0,2017-02-23 09:25:00,Pothole,Pothole,Closed,350.63333333333327,0.0
4157,Rancho Peñasquitos,,1.0,2017-03-08 00:03:00,32.57336166666666-117.0793445,0.0,32.5733616667,-117.0793445,Closed,0.0,0.0,2017-02-23 09:11:00,Pothole,Pothole,Closed,302.8666666666667,0.0
4166,Downtown,,1.0,2017-03-03 00:02:00,32.7687820224415-117.2000309425884,0.0,32.768782022399996,-117.20003094299999,Closed,0.0,0.0,2017-02-23 07:45:00,Pothole,Pothole,Closed,184.28333333333333,0.0
4167,,,1.0,2017-03-07 00:02:00,32.76559829999999-117.0668028,0.0,32.7655983,-117.06680279999999,Closed,0.0,0.0,2017-02-23 07:38:00,Pothole,Pothole,Closed,280.4,0.0
