,Neighborhood,Unnamed: 0.1.1.1,closed,closed_date,coordinates,duplicate_verified,lat,long,mobile_web_status,open,override_duplicate,requested_datetime,sap_problem_type,service_name,status_description,Duration to Close (Hrs),Neighborhood Prices
14727,Mount Hope,,1.0,2017-01-12 00:03:00,32.715103829599215-117.10467498597302,0.0,32.715103829600004,-117.104674986,Closed,0.0,0.0,2017-01-06 08:45:00,Pothole,Pothole,Closed,135.3,0.0
14734,Middletown,,1.0,2017-01-29 00:02:00,32.73708100761706-117.17685966415405,0.0,32.737081007600004,-117.17685966399999,Closed,0.0,0.0,2017-01-06 00:45:00,Pothole,Pothole,Closed,551.2833333333333,0.0
14736,Mount Hope,,1.0,2017-01-13 00:03:00,32.711488818553796-117.116528653859,0.0,32.7114888186,-117.11652865399999,Closed,0.0,0.0,2017-01-05 22:24:00,Pothole,Pothole,Closed,169.65,0.0
14738,Roseville-Fleetridge,,1.0,2017-02-03 23:31:00,32.731711-117.225868,0.0,32.731711,-117.22586799999999,Closed,0.0,0.0,2017-01-05 21:47:00,Pothole,Pothole,Closed,697.7333333333332,0.0
14743,Mission Bay,,1.0,2017-02-15 00:03:00,32.75920468563847-117.2265850987566,1.0,32.7592046856,-117.22658509899999,Closed,0.0,0.0,2017-01-05 20:17:00,Pothole,Pothole,Closed,963.7666666666668,0.0
14765,Roseville-Fleetridge,,1.0,2017-02-03 23:31:00,32.73061910382097-117.24282054824829,0.0,32.7306191038,-117.242820548,Closed,0.0,0.0,2017-01-05 16:14:00,Pothole,Pothole,Closed,703.2833333333333,0.0
14771,Ocean Beach,,1.0,2017-01-29 00:02:00,32.7454752-117.2472204,1.0,32.7454752,-117.24722040000002,Closed,0.0,0.0,2017-01-05 15:17:00,Pothole,Pothole,Closed,560.75,0.0
14774,Village,,1.0,2017-02-08 11:39:00,32.8476763-117.2735097,0.0,32.8476763,-117.2735097,Closed,0.0,0.0,2017-01-05 14:46:00,Pothole,Pothole,Closed,812.8833333333333,0.0
14776,Stockton,,1.0,2017-02-09 00:03:00,32.71177221795027-117.12117700500488,1.0,32.711772218,-117.121177005,Closed,0.0,0.0,2017-01-05 13:37:00,Pothole,Pothole,Closed,826.4333333333333,0.0
14777,Mount Hope,,1.0,2017-01-12 00:03:00,32.71141112761424-117.11662797851562,0.0,32.7114111276,-117.116627979,Closed,0.0,1.0,2017-01-05 13:34:00,Pothole,Pothole,Closed,154.48333333333332,0.0
14778,San Diego,,1.0,2017-02-08 11:39:00,32.56068681003809-116.96110180898438,1.0,32.56068681,-116.961101809,Closed,0.0,0.0,2017-01-05 13:32:00,Pothole,Pothole,Closed,814.1166666666667,0.0
14788,Barrio Logan,,1.0,2017-02-04 00:02:00,32.7021648-117.1492052,0.0,32.7021648,-117.14920520000001,Closed,0.0,0.0,2017-01-05 11:47:00,Pothole,Pothole,Closed,708.25,0.0
14791,Roseville-Fleetridge,,1.0,2017-02-16 00:02:00,32.7303432-117.2258681,1.0,32.7303432,-117.22586809999999,Closed,0.0,0.0,2017-01-05 11:41:00,Pothole,Pothole,Closed,996.35,0.0
14792,Ocean Beach,,1.0,2017-02-14 00:02:00,32.74562132813473-117.24683581514358,0.0,32.7456213281,-117.246835815,Closed,0.0,0.0,2017-01-05 11:39:00,Pothole,Pothole,Closed,948.3833333333333,0.0
14799,Mission Bay,,1.0,2017-01-11 00:03:00,32.761823239133804-117.22674875183105,1.0,32.761823239099996,-117.226748752,Closed,0.0,0.0,2017-01-05 10:45:00,Pothole,Pothole,Closed,133.3,0.0
14801,La Jolla Farms,,1.0,2017-02-04 00:02:00,32.87467309133947-117.24468736572265,0.0,32.874673091300004,-117.24468736600001,Closed,0.0,0.0,2017-01-05 10:27:00,Pothole,Pothole,Closed,709.5833333333335,0.0
14804,San Diego,,1.0,2017-02-03 23:33:00,32.553334718801274-116.98852567596435,1.0,32.5533347188,-116.98852567600001,Closed,0.0,0.0,2017-01-05 10:00:00,Pothole,Pothole,Closed,709.55,0.0
14805,San Diego,,1.0,2017-02-03 23:33:00,32.55351784419542-116.98849080724716,0.0,32.5535178442,-116.988490807,Closed,0.0,0.0,2017-01-05 09:58:00,Pothole,Pothole,Closed,709.5833333333335,0.0
14812,Broadway Heights,,1.0,2017-02-03 23:31:00,32.72953159202192-117.06056874856947,0.0,32.729531592,-117.060568749,Closed,0.0,0.0,2017-01-05 08:43:00,Pothole,Pothole,Closed,710.8,0.0
14814,Old Town,,1.0,2017-02-03 22:00:00,32.75940715338361-117.1939441469658,0.0,32.7594071534,-117.19394414700001,Closed,0.0,0.0,2017-01-05 08:22:00,Pothole,Pothole,Closed,709.6333333333333,0.0
14816,San Diego,,1.0,2017-02-08 11:39:00,32.56067970953841-116.96202124655758,0.0,32.5606797095,-116.96202124700001,Closed,0.0,0.0,2017-01-05 07:46:00,Pothole,Pothole,Closed,819.8833333333333,0.0
14824,Loma Heights,,1.0,2017-01-21 00:02:00,32.74588-117.211232,0.0,32.74588,-117.21123200000001,Closed,0.0,0.0,2017-01-05 06:10:00,Pothole,Pothole,Closed,377.86666666666673,0.0
14888,Ocean Beach,,1.0,2017-01-21 00:02:00,32.75141104414784-117.24005250854498,0.0,32.751411044099996,-117.240052509,Closed,0.0,0.0,2017-01-04 14:11:00,Pothole,Pothole,Closed,393.85,0.0
14890,Stockton,,1.0,2017-02-04 00:02:00,32.7082089-117.126238,0.0,32.708208899999995,-117.12623799999999,Closed,0.0,0.0,2017-01-04 13:58:00,Pothole,Pothole,Closed,730.0666666666667,0.0
14892,Old Town,,1.0,2017-01-18 00:03:00,32.749931066841704-117.1925500456772,0.0,32.749931066799995,-117.19255004600001,Closed,0.0,0.0,2017-01-04 13:36:00,Pothole,Pothole,Closed,322.45,0.0
14893,Mount Hope,,1.0,2017-01-13 00:03:00,32.71141521303246-117.11650271163938,0.0,32.711415213,-117.11650271200001,Closed,0.0,0.0,2017-01-04 13:34:00,Pothole,Pothole,Closed,202.4833333333333,0.0
14905,Mission Bay,,1.0,2017-01-11 00:03:00,32.76194120180701-117.21235918377332,0.0,32.7619412018,-117.212359184,Closed,0.0,0.0,2017-01-04 11:30:00,Pothole,Pothole,Closed,156.55,0.0
14920,Teralta West,,1.0,2017-01-13 00:03:00,32.7548296-117.1032387,0.0,32.7548296,-117.1032387,Closed,0.0,0.0,2017-01-04 08:28:00,Pothole,Pothole,Closed,207.58333333333331,0.0
14956,Border,,1.0,2017-02-03 22:00:00,32.54488208643863-117.02990100575597,0.0,32.5448820864,-117.029901006,Closed,0.0,0.0,2017-01-03 17:42:00,Pothole,Pothole,Closed,748.3,0.0
14965,Old Town,,1.0,2017-02-08 11:39:00,32.75426687801855-117.2007505178903,1.0,32.754266878,-117.20075051799999,Closed,0.0,0.0,2017-01-03 16:11:00,Pothole,Pothole,Closed,859.4666666666667,0.0
14968,La Jolla Village,,1.0,2017-02-28 00:02:00,32.86984-117.2337768,0.0,32.86984,-117.23377679999999,Closed,0.0,0.0,2017-01-03 15:54:00,Pothole,Pothole,Closed,1328.1333333333334,0.0
14976,Ocean Beach,,1.0,2017-02-07 00:03:00,32.74557586612297-117.24687653486049,1.0,32.745575866100005,-117.246876535,Closed,0.0,0.0,2017-01-03 14:41:00,Pothole,Pothole,Closed,825.3666666666667,0.0
15005,Barrio Logan,,1.0,2017-02-23 00:02:00,32.70156873616086-117.15233556447478,0.0,32.7015687362,-117.152335564,Closed,0.0,0.0,2017-01-03 13:13:00,Pothole,Pothole,Closed,1210.8166666666666,0.0
15008,Barrio Logan,,1.0,2017-02-03 23:33:00,32.69378-117.131707,0.0,32.69378,-117.131707,Closed,0.0,1.0,2017-01-03 12:47:00,Pothole,Pothole,Closed,754.7666666666668,0.0
15009,Barrio Logan,,1.0,2017-04-19 16:28:00,32.694102-117.13249,0.0,32.694102,-117.13248999999999,Closed,0.0,0.0,2017-01-03 12:45:00,Pothole,Pothole,Closed,2547.7166666666667,0.0
15011,Grant Hill,,1.0,2017-01-13 00:03:00,32.711645117431345-117.13023061668721,0.0,32.711645117399996,-117.13023061700001,Closed,0.0,0.0,2017-01-03 12:41:00,Pothole,Pothole,Closed,227.36666666666667,0.0
15014,Birdland,,1.0,2017-02-18 00:02:00,32.801986-117.154682,0.0,32.801986,-117.15468200000001,Closed,0.0,0.0,2017-01-03 12:38:00,Pothole,Pothole,Closed,1091.4,0.0
15033,La Jolla Shores,,1.0,2016-09-27 00:03:00,32.863528-117.253146,0.0,32.863528,-117.253146,Closed,0.0,1.0,2016-09-15 19:01:00,Pothole,Pothole,Closed,269.03333333333336,0.0
15034,Roseville-Fleetridge,,1.0,2016-09-27 00:03:00,32.733808-117.232856,0.0,32.733808,-117.23285600000001,Closed,0.0,0.0,2016-09-15 16:01:00,Pothole,Pothole,Closed,272.03333333333336,0.0
15044,San Pasqual,,1.0,2016-06-24 00:02:00,33.07666456997811-117.0351308102545,0.0,33.07666457,-117.03513081,Closed,0.0,0.0,2016-05-20 14:48:00,Pothole,Pothole,Closed,825.2333333333332,0.0
15059,Redwood Village-Rolando Park,108.0,1.0,2017-05-17 00:02:00,32.75513525931618-117.05029496872707,0.0,32.7551352593,-117.05029496899999,Closed,0.0,0.0,2017-05-02 10:17:00,Pothole,Pothole,Closed,349.75,0.0
15073,Redwood Village-Rolando Park,195.0,1.0,2017-05-17 00:02:00,32.746643-117.06649,0.0,32.746643,-117.06648999999999,Closed,0.0,0.0,2017-04-26 17:52:00,Pothole,Pothole,Closed,486.16666666666674,0.0
15075,Redwood Village-Rolando Park,212.0,1.0,2017-05-10 00:03:00,32.75193333333333-117.066825,0.0,32.7519333333,-117.066825,Closed,0.0,0.0,2017-04-26 08:47:00,Pothole,Pothole,Closed,327.26666666666665,0.0
15078,Redwood Village-Rolando Park,271.0,1.0,2017-05-03 00:03:00,32.75026899039283-117.05557875581974,0.0,32.7502689904,-117.055578756,Closed,0.0,0.0,2017-04-23 08:39:00,Pothole,Pothole,Closed,231.4,0.0
15083,Redwood Village-Rolando Park,353.0,1.0,2017-05-04 00:02:00,32.747923-117.073903,0.0,32.747923,-117.073903,Closed,0.0,0.0,2017-04-20 21:39:00,Pothole,Pothole,Closed,314.3833333333333,0.0
