,status_description,mobile_web_status,duplicate_verified,override_duplicate,requested_datetime,closed_date,open,closed,service_name,coordinates,lat,long,sap_problem_type
48631,Assigned,In process,0,0,2017-01-23T12:15:00,,1,0,Pothole,32.767020909757534-117.19037793610634,32.7670209098,-117.190377936,Pothole
48665,Assigned,In process,0,0,2017-01-23T11:24:00,,1,0,Pothole,32.7621267-117.097225,32.762126699999996,-117.097225,Pothole
48673,Assigned,In process,0,1,2017-01-23T11:18:00,,1,0,Pothole,32.81610547175561-117.1502704109466,32.8161054718,-117.15027041100001,Pothole
48711,Assigned,In process,0,0,2017-01-23T10:34:00,,1,0,Pothole,32.715738-117.1610838,32.715738,-117.1610838,Pothole
48845,Assigned,In process,0,1,2017-01-23T07:08:00,,1,0,Pothole,32.798511372715275-117.06180620892513,32.7985113727,-117.061806209,Pothole
48879,Assigned,In process,1,1,2017-01-22T23:20:00,,1,0,Pothole,32.70912-117.094624,32.70912,-117.094624,Pothole
48890,Assigned,In process,0,0,2017-01-22T22:15:00,,1,0,Pothole,32.905257-117.139257,32.905257,-117.139257,Pothole
48919,Assigned,In process,0,0,2017-01-22T20:55:00,,1,0,Pothole,32.742006271196985-117.18328041398621,32.7420062712,-117.183280414,Pothole
48922,Assigned,In process,0,0,2017-01-22T20:50:00,,1,0,Pothole,32.739746760832126-117.21643420870669,32.7397467608,-117.216434209,Pothole
48929,Assigned,In process,0,1,2017-01-22T20:42:00,,1,0,Pothole,32.83258240088594-117.15528078450319,32.8325824009,-117.155280785,Pothole
48941,Assigned,In process,0,0,2017-01-22T20:30:00,,1,0,Pothole,32.8804949-117.181234,32.880494899999995,-117.181234,Pothole
48975,Assigned,In process,0,0,2017-01-22T19:03:00,,1,0,Pothole,32.91945133609337-117.1114604202342,32.9194513361,-117.11146042,Pothole
48983,Assigned,In process,0,0,2017-01-22T18:52:00,,1,0,Pothole,32.917816-117.143778,32.917815999999995,-117.143778,Pothole
48995,Assigned,In process,0,0,2017-01-22T18:12:00,,1,0,Pothole,32.70808902794538-117.16984300537109,32.7080890279,-117.169843005,Pothole
49027,Assigned,In process,0,0,2017-01-22T16:34:00,,1,0,Pothole,32.81182982239183-117.2248937986725,32.8118298224,-117.224893799,Pothole
49032,Assigned,In process,0,0,2017-01-22T16:31:00,,1,0,Pothole,32.828737-117.15369,32.828737,-117.15369,Pothole
49086,Assigned,In process,0,0,2017-01-22T15:39:00,,1,0,Pothole,32.834981-117.19818,32.834981,-117.19818000000001,Pothole
49114,Assigned,In process,0,0,2017-01-22T15:15:00,,1,0,Pothole,32.779813227420775-117.10158435581968,32.7798132274,-117.101584356,Pothole
49167,Assigned,In process,0,1,2017-01-22T13:54:00,,1,0,Pothole,32.915705-117.143808,32.915704999999996,-117.143808,Pothole
49197,Assigned,In process,0,0,2017-01-22T12:30:00,,1,0,Pothole,32.92334607339736-117.1478335374195,32.923346073400005,-117.14783353700001,Pothole
