,Unnamed: 0,Neighborhood,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1,closed,closed_date,coordinates,duplicate_verified,lat,long,mobile_web_status,open,override_duplicate,requested_datetime,sap_problem_type,service_name,status_description
14,92,Talmadge,92.0,1824.0,1824.0,0.0,,32.757859-117.095771,0.0,32.757859,-117.095771,In process,1.0,0.0,2017-05-19T09:46:00,Pothole,Pothole,Acknowledged
15,108,Talmadge,108.0,1936.0,1936.0,0.0,,32.7571740451191-117.1001867297179,0.0,32.7571740451,-117.10018673,In process,1.0,0.0,2017-05-18T22:12:00,Pothole,Pothole,Acknowledged
16,110,Redwood Village-Rolando Park,110.0,1988.0,1988.0,0.0,,32.746749-117.06643,0.0,32.746749,-117.06643000000001,In process,1.0,0.0,2017-05-18T17:50:00,Pothole,Pothole,Acknowledged
17,120,College West,120.0,2112.0,2112.0,0.0,,32.77071936161888-117.0720186238959,0.0,32.7707193616,-117.072018624,In process,1.0,0.0,2017-05-18T13:08:00,Pothole,Pothole,Acknowledged
18,134,Swan Canyon,134.0,2288.0,2288.0,0.0,,32.7384094-117.09657349999998,0.0,32.738409399999995,-117.0965735,In process,1.0,0.0,2017-05-18T07:25:00,Pothole,Traffic Sign,Assigned
19,136,Swan Canyon,136.0,2303.0,2303.0,0.0,,32.7384187-117.09766660000003,0.0,32.7384187,-117.0976666,In process,1.0,1.0,2017-05-18T07:16:00,Pothole,Pothole,Assigned
20,137,Swan Canyon,137.0,2306.0,2306.0,0.0,,32.7384187-117.09766660000003,0.0,32.7384187,-117.0976666,In process,1.0,0.0,2017-05-18T07:13:00,Pothole,Pothole,Assigned
21,155,Normal Heights,155.0,2689.0,2689.0,0.0,,32.76668322882202-117.1151842181179,0.0,32.7666832288,-117.115184218,In process,1.0,1.0,2017-05-17T13:25:00,Pothole,Pothole,Assigned
22,156,Normal Heights,156.0,2692.0,2692.0,0.0,,32.76678714384851-117.11580378129,0.0,32.7667871438,-117.115803781,In process,1.0,1.0,2017-05-17T13:23:00,Pothole,Pothole,Assigned
23,157,Normal Heights,157.0,2693.0,2693.0,0.0,,32.76748803081691-117.1160133825453,0.0,32.7674880308,-117.116013383,In process,1.0,0.0,2017-05-17T13:22:00,Pothole,Pothole,Acknowledged
24,158,Normal Heights,158.0,2696.0,2696.0,0.0,,32.76801352756355-117.1164234742232,0.0,32.768013527600004,-117.116423474,In process,1.0,1.0,2017-05-17T13:21:00,Pothole,Pothole,Assigned
25,171,Normal Heights,171.0,2794.0,2794.0,0.0,,32.7690490242399-117.1214657464224,0.0,32.7690490242,-117.121465746,In process,1.0,0.0,2017-05-17T10:59:00,Pothole,Pothole,Assigned
26,179,Normal Heights,179.0,2942.0,2942.0,0.0,,32.76263720358979-117.1234233399081,0.0,32.7626372036,-117.12342334,In process,1.0,0.0,2017-05-17T07:47:00,Pothole,Pothole,Assigned
27,182,Fairmont Village,182.0,3058.0,3058.0,0.0,,32.74702929833718-117.0924116716673,0.0,32.7470292983,-117.09241167200001,In process,1.0,0.0,2017-05-16T20:12:00,Pothole,Pothole,Assigned
28,197,City Heights,197.0,3190.0,3190.0,0.0,,32.744045-117.113501,0.0,32.744045,-117.113501,In process,1.0,0.0,2017-05-16T15:07:00,Pothole,Pothole,Assigned
29,202,College East,202.0,3271.0,3271.0,0.0,,32.77155243318547-117.04923769364012,0.0,32.7715524332,-117.049237694,In process,1.0,0.0,2017-05-16T12:51:00,Pothole,Pothole,Assigned
30,207,Chollas Creek,207.0,3336.0,3336.0,0.0,,32.73764174518468-117.09024321544649,0.0,32.7376417452,-117.090243215,In process,1.0,0.0,2017-05-16T10:48:00,Pothole,Pothole,Assigned
31,209,Colina del Sol,209.0,3346.0,3346.0,0.0,,32.749655-117.0848611666667,0.0,32.749655,-117.08486116700001,In process,1.0,0.0,2017-05-16T10:32:00,Pothole,Other,Assigned
32,220,Ridgeview-Webster,220.0,3452.0,3452.0,0.0,,32.720212-117.085133,0.0,32.720212,-117.08513300000001,In process,1.0,0.0,2017-05-16T08:15:00,Pothole,Pothole,Assigned
33,221,Normal Heights,221.0,3455.0,3455.0,0.0,,32.76115674994212-117.1234011278647,0.0,32.761156749899996,-117.123401128,In process,1.0,0.0,2017-05-16T08:10:00,Pothole,Pothole,Assigned
34,223,College East,223.0,3464.0,3464.0,0.0,,32.76559829999999-117.0668028,0.0,32.7655983,-117.06680279999999,In process,1.0,0.0,2017-05-16T07:56:00,Pothole,Pothole,Assigned
35,224,City Heights,224.0,3516.0,3516.0,0.0,,32.735992207239065-117.10214381534422,0.0,32.7359922072,-117.102143815,In process,1.0,0.0,2017-05-16T07:14:00,Pothole,Pothole,Assigned
36,237,City Heights,237.0,3701.0,3701.0,0.0,,32.747793-117.106951,0.0,32.747793,-117.106951,In process,1.0,0.0,2017-05-15T14:48:00,Pothole,Pothole,Assigned
37,245,Fairmont Park,245.0,3774.0,3774.0,0.0,,32.72867126131394-117.10693317054056,0.0,32.7286712613,-117.10693317100001,In process,1.0,1.0,2017-05-15T12:23:00,Pothole,Pothole,Assigned
38,267,Teralta East,267.0,3985.0,3985.0,0.0,,32.75538-117.096581,0.0,32.75538,-117.096581,In process,1.0,0.0,2017-05-15T06:52:00,Pothole,Pothole,Assigned
39,276,Fairmont Village,276.0,4065.0,4065.0,0.0,,32.749262-117.094532,0.0,32.749262,-117.094532,In process,1.0,0.0,2017-05-14T16:57:00,Pothole,Pothole,Assigned
40,277,Chollas Creek,277.0,4081.0,4081.0,0.0,,32.7410624-117.08526599999999,0.0,32.741062400000004,-117.08526599999999,In process,1.0,0.0,2017-05-14T15:41:00,Pothole,Pothole,Assigned
41,280,Normal Heights,280.0,4095.0,4095.0,0.0,,32.7588412-117.11063260000003,0.0,32.7588412,-117.11063259999999,In process,1.0,0.0,2017-05-14T14:32:00,Pothole,Pothole,Assigned
42,281,Rolando,281.0,4101.0,4101.0,0.0,,32.76432843256868-117.06047203775103,0.0,32.7643284326,-117.06047203799999,In process,1.0,0.0,2017-05-14T14:13:00,Pothole,Pothole,Assigned
43,305,Normal Heights,305.0,4518.0,4518.0,0.0,,32.76763032135548-117.1205980722303,0.0,32.7676303214,-117.120598072,In process,1.0,0.0,2017-05-13T08:35:00,Pothole,Pothole,Assigned
44,306,Normal Heights,306.0,4521.0,4521.0,0.0,,32.76450705482362-117.1206083133832,0.0,32.7645070548,-117.12060831299999,In process,1.0,0.0,2017-05-13T08:32:00,Pothole,Pothole,Assigned
45,325,College West,325.0,4780.0,4780.0,0.0,,32.7779343-117.08920969999997,0.0,32.7779343,-117.08920970000001,In process,1.0,1.0,2017-05-12T11:18:00,Pothole,Pothole,Assigned
46,327,College West,327.0,4782.0,4782.0,0.0,,32.7762195-117.08722419999998,0.0,32.7762195,-117.08722420000001,In process,1.0,0.0,2017-05-12T11:11:00,Pothole,Pothole,Assigned
47,330,Fairmont Village,330.0,4794.0,4794.0,0.0,,32.74958643642353-117.09711899573055,0.0,32.7495864364,-117.097118996,In process,1.0,0.0,2017-05-12T10:56:00,Pothole,Pothole,Assigned
48,331,Talmadge,331.0,4799.0,4799.0,0.0,,32.758196252195305-117.08607225341797,0.0,32.7581962522,-117.086072253,In process,1.0,0.0,2017-05-12T10:51:00,Pothole,Pothole,Assigned
49,347,Fox Canyon,347.0,4957.0,4957.0,0.0,,32.745904-117.09214700000001,0.0,32.745903999999996,-117.092147,In process,1.0,0.0,2017-05-11T20:29:00,Pothole,Pothole,Assigned
50,350,Kensington,350.0,4964.0,4964.0,0.0,,32.7627895712814-117.0975814406188,0.0,32.762789571300004,-117.097581441,In process,1.0,0.0,2017-05-11T20:13:00,Pothole,Pothole,Assigned
51,366,College East,366.0,5174.0,5174.0,0.0,,32.77010520761616-117.04723386688232,0.0,32.770105207600004,-117.047233867,In process,1.0,0.0,2017-05-11T12:53:00,Pothole,Pothole,Assigned
52,370,Fox Canyon,370.0,5227.0,5227.0,0.0,,32.74549149696837-117.09233084976807,0.0,32.745491496999996,-117.09233085,In process,1.0,0.0,2017-05-11T11:41:00,Pothole,Pothole,Assigned
53,372,El Cerrito,372.0,5249.0,5249.0,0.0,,32.75137499999999-117.07856800000002,0.0,32.751375,-117.07856799999999,In process,1.0,0.0,2017-05-11T10:52:00,Pothole,Pothole,Assigned
54,378,College East,378.0,5298.0,5298.0,0.0,,32.7651784-117.0630071,0.0,32.765178399999996,-117.0630071,In process,1.0,0.0,2017-05-11T09:38:00,Pothole,Pothole,Assigned
55,385,Fairmont Park,385.0,5399.0,5399.0,0.0,,32.7220635-117.11397549999998,0.0,32.722063500000004,-117.1139755,In process,1.0,0.0,2017-05-10T22:34:00,Pothole,Pothole,Assigned
56,386,Fairmont Park,386.0,5400.0,5400.0,0.0,,32.7219229-117.11395040000002,0.0,32.7219229,-117.1139504,In process,1.0,0.0,2017-05-10T22:33:00,Pothole,Pothole,Assigned
57,394,Colina del Sol,394.0,5581.0,5581.0,0.0,,32.75487111451956-117.07942005969129,0.0,32.7548711145,-117.07942006,In process,1.0,0.0,2017-05-10T16:04:00,Pothole,Pothole,Assigned
58,404,El Cerrito,404.0,5724.0,5724.0,0.0,,32.753077-117.076955,0.0,32.753077000000005,-117.076955,In process,1.0,1.0,2017-05-10T12:29:00,Pothole,Pothole,Assigned
59,405,El Cerrito,405.0,5725.0,5725.0,0.0,,32.753129-117.07671,0.0,32.753129,-117.07671,In process,1.0,0.0,2017-05-10T12:29:00,Pothole,Pothole,Assigned
60,406,El Cerrito,406.0,5728.0,5728.0,0.0,,32.75526-117.073938,0.0,32.75526,-117.07393799999998,In process,1.0,0.0,2017-05-10T12:25:00,Pothole,Pothole,Assigned
61,407,El Cerrito,407.0,5735.0,5735.0,0.0,,32.754232-117.073665,0.0,32.754232,-117.07366499999999,In process,1.0,1.0,2017-05-10T12:20:00,Pothole,Pothole,Assigned
62,411,Normal Heights,411.0,5824.0,5824.0,0.0,,32.75928314312617-117.1213894711036,1.0,32.7592831431,-117.121389471,In process,1.0,1.0,2017-05-10T09:53:00,Pothole,Pothole,Assigned
63,412,Teralta East,412.0,5828.0,5828.0,0.0,,32.75136141638683-117.09658114833832,0.0,32.7513614164,-117.096581148,In process,1.0,1.0,2017-05-10T09:48:00,Pothole,Pothole,Assigned
64,413,Normal Heights,413.0,5847.0,5847.0,0.0,,32.759822470949544-117.12345108151055,0.0,32.759822470900005,-117.123451082,In process,1.0,1.0,2017-05-10T09:14:00,Pothole,Pothole,Assigned
65,423,Teralta East,423.0,5993.0,5993.0,0.0,,32.751356-117.096678,0.0,32.751356,-117.096678,In process,1.0,0.0,2017-05-09T18:28:00,Pothole,Pothole,Assigned
66,429,College West,429.0,6114.0,6114.0,0.0,,32.77032736299402-117.0919935856892,0.0,32.770327363,-117.091993586,In process,1.0,0.0,2017-05-09T15:26:00,Pothole,Pothole,Assigned
67,440,City Heights,440.0,6247.0,6247.0,0.0,,32.7370955-117.10233490000002,0.0,32.7370955,-117.10233490000002,In process,1.0,1.0,2017-05-09T11:14:00,Pothole,Pothole,Assigned
68,453,Ridgeview-Webster,453.0,6381.0,6381.0,0.0,,32.721447-117.095465,0.0,32.721447,-117.09546499999999,In process,1.0,0.0,2017-05-09T06:40:00,Pothole,Pothole,Assigned
69,454,College West,454.0,6384.0,6384.0,0.0,,32.77075220141742-117.0700066464712,0.0,32.7707522014,-117.07000664600001,In process,1.0,0.0,2017-05-09T06:38:00,Pothole,Pothole,Assigned
70,455,College West,455.0,6386.0,6386.0,0.0,,32.77083776469514-117.0763874184366,0.0,32.7708377647,-117.076387418,In process,1.0,0.0,2017-05-09T06:37:00,Pothole,Pothole,Assigned
71,469,City Heights,469.0,6498.0,6498.0,0.0,,32.750815509191476-117.1116497985841,0.0,32.7508155092,-117.11164979899999,In process,1.0,0.0,2017-05-08T18:46:00,Pothole,Pothole,Assigned
72,472,Ridgeview-Webster,472.0,6503.0,6503.0,0.0,,32.72554409693249-117.0856139996248,0.0,32.7255440969,-117.08561399999999,In process,1.0,0.0,2017-05-08T18:29:00,Pothole,Pothole,Assigned
73,476,Fairmont Village,476.0,6573.0,6573.0,0.0,,32.7458133-117.09770630000003,0.0,32.7458133,-117.09770630000001,In process,1.0,0.0,2017-05-08T16:33:00,Pothole,Pothole,Assigned
74,479,Rolando,479.0,6601.0,6601.0,0.0,,32.762087-117.061434,0.0,32.762087,-117.061434,In process,1.0,0.0,2017-05-08T15:54:00,Pothole,Pothole,Assigned
75,481,Rolando,481.0,6605.0,6605.0,0.0,,32.763123-117.060735,0.0,32.763123,-117.06073500000001,In process,1.0,0.0,2017-05-08T15:52:00,Pothole,Pothole,Assigned
76,482,Rolando,482.0,6610.0,6610.0,0.0,,32.762185-117.064312,0.0,32.762184999999995,-117.06431200000002,In process,1.0,0.0,2017-05-08T15:49:00,Pothole,Pothole,Assigned
77,487,Redwood Village-Rolando Park,487.0,6638.0,6638.0,0.0,,32.755121-117.056744,0.0,32.755121,-117.056744,In process,1.0,0.0,2017-05-08T14:55:00,Pothole,Pothole,Assigned
78,494,Normal Heights,494.0,6691.0,6691.0,0.0,,32.76404589822572-117.1183483682762,0.0,32.7640458982,-117.11834836799999,In process,1.0,1.0,2017-05-08T12:45:00,Pothole,Pothole,Assigned
79,495,Normal Heights,495.0,6705.0,6705.0,0.0,,32.76885997436098-117.1183447658396,0.0,32.7688599744,-117.118344766,In process,1.0,0.0,2017-05-08T12:36:00,Pothole,Pothole,Assigned
80,496,Normal Heights,496.0,6714.0,6714.0,0.0,,32.77124351006621-117.1183566985512,0.0,32.7712435101,-117.118356699,In process,1.0,0.0,2017-05-08T12:29:00,Pothole,Pothole,Assigned
81,497,Normal Heights,497.0,6715.0,6715.0,0.0,,32.77130715996365-117.1183564820844,0.0,32.77130716,-117.11835648200001,In process,1.0,0.0,2017-05-08T12:29:00,Pothole,Pothole,Assigned
82,498,Normal Heights,498.0,6718.0,6718.0,0.0,,32.77142730708984-117.1169054984917,0.0,32.7714273071,-117.116905498,In process,1.0,0.0,2017-05-08T12:27:00,Pothole,Pothole,Assigned
83,499,Normal Heights,499.0,6720.0,6720.0,0.0,,32.76920199292366-117.1170801815356,0.0,32.7692019929,-117.11708018200001,In process,1.0,0.0,2017-05-08T12:25:00,Pothole,Pothole,Assigned
84,500,Normal Heights,500.0,6721.0,6721.0,0.0,,32.76763507111803-117.1172095156013,0.0,32.7676350711,-117.117209516,In process,1.0,1.0,2017-05-08T12:24:00,Pothole,Pothole,Assigned
85,501,Normal Heights,501.0,6722.0,6722.0,0.0,,32.76744249372678-117.1172144210516,0.0,32.767442493699996,-117.117214421,In process,1.0,0.0,2017-05-08T12:23:00,Pothole,Pothole,Assigned
86,502,Normal Heights,502.0,6725.0,6725.0,0.0,,32.76549413838086-117.1172267304327,0.0,32.7654941384,-117.11722673,In process,1.0,1.0,2017-05-08T12:21:00,Pothole,Pothole,Assigned
87,518,Fairmont Park,518.0,6852.0,6852.0,0.0,,32.720763591126435-117.10973052771793,0.0,32.7207635911,-117.10973052799999,In process,1.0,0.0,2017-05-08T08:18:00,Pothole,Pothole,Assigned
88,519,College West,519.0,6878.0,6878.0,0.0,,32.77626494161544-117.0993145538707,0.0,32.7762649416,-117.099314554,In process,1.0,1.0,2017-05-08T06:43:00,Pothole,Pothole,Assigned
89,521,College West,521.0,6880.0,6880.0,0.0,,32.76287231418257-117.0670079627141,0.0,32.7628723142,-117.067007963,In process,1.0,0.0,2017-05-08T06:41:00,Pothole,Pothole,Assigned
90,524,Normal Heights,524.0,6932.0,6932.0,0.0,,32.76149437300187-117.1234370862293,0.0,32.761494373000005,-117.12343708600001,In process,1.0,0.0,2017-05-07T17:20:00,Pothole,Pothole,Assigned
91,527,Talmadge,527.0,6968.0,6968.0,0.0,,32.7606417-117.08963849999998,0.0,32.7606417,-117.0896385,In process,1.0,0.0,2017-05-07T15:28:00,Pothole,Pothole,Assigned
92,539,Normal Heights,539.0,7128.0,7128.0,0.0,,32.76721223955522-117.1182675613383,0.0,32.7672122396,-117.11826756100001,In process,1.0,0.0,2017-05-06T17:21:00,Pothole,Pothole,Assigned
93,545,Talmadge,545.0,7208.0,7208.0,0.0,,32.75595247132922-117.0940220399757,0.0,32.7559524713,-117.09402204,In process,1.0,0.0,2017-05-06T10:39:00,Pothole,Pothole,Assigned
94,546,Talmadge,546.0,7219.0,7219.0,0.0,,32.76234252835349-117.0973229390814,0.0,32.762342528400005,-117.097322939,In process,1.0,0.0,2017-05-06T10:02:00,Pothole,Pothole,Assigned
95,553,College East,553.0,7312.0,7312.0,0.0,,32.768573928127765-117.05363827835691,0.0,32.7685739281,-117.053638278,In process,1.0,0.0,2017-05-05T19:32:00,Pothole,Pothole,Assigned
96,557,El Cerrito,557.0,7353.0,7353.0,0.0,,32.754891-117.07771,0.0,32.754891,-117.07771000000001,In process,1.0,0.0,2017-05-05T17:34:00,Pothole,Pothole,Assigned
97,570,Normal Heights,570.0,7628.0,7628.0,0.0,,32.76411458127667-117.1239088825531,0.0,32.7641145813,-117.123908883,In process,1.0,1.0,2017-05-05T12:36:00,Pothole,Pothole,Assigned
98,575,Fairmont Park,575.0,7733.0,7733.0,0.0,,32.7245411-117.10514619999998,0.0,32.7245411,-117.10514620000001,In process,1.0,1.0,2017-05-05T09:24:00,Pothole,Pothole,Assigned
99,598,Normal Heights,598.0,7994.0,7994.0,0.0,,32.77224372861751-117.1159334819492,0.0,32.7722437286,-117.115933482,In process,1.0,0.0,2017-05-04T12:55:00,Pothole,Pothole,Assigned
100,599,Normal Heights,599.0,7995.0,7995.0,0.0,,32.77376801532456-117.115116132472,0.0,32.7737680153,-117.11511613200001,In process,1.0,0.0,2017-05-04T12:53:00,Pothole,Pothole,Assigned
101,600,Normal Heights,600.0,7998.0,7998.0,0.0,,32.77401072074151-117.1193858643243,0.0,32.774010720700005,-117.119385864,In process,1.0,0.0,2017-05-04T12:48:00,Pothole,Pothole,Assigned
102,601,Normal Heights,601.0,8001.0,8001.0,0.0,,32.77152336279421-117.1193909751056,0.0,32.771523362800004,-117.119390975,In process,1.0,0.0,2017-05-04T12:45:00,Pothole,Pothole,Assigned
103,602,Normal Heights,602.0,8003.0,8003.0,0.0,,32.77149325168874-117.1215141013925,0.0,32.7714932517,-117.121514101,In process,1.0,0.0,2017-05-04T12:43:00,Pothole,Pothole,Assigned
104,613,Normal Heights,613.0,8258.0,8258.0,0.0,,32.76343458791555-117.1182608101151,0.0,32.7634345879,-117.11826081,In process,1.0,0.0,2017-05-03T18:02:00,Pothole,Pothole,Assigned
105,614,Normal Heights,614.0,8307.0,8307.0,0.0,,32.76772553530548-117.1253668242857,0.0,32.7677255353,-117.125366824,In process,1.0,0.0,2017-05-03T15:52:00,Pothole,Pothole,Assigned
106,615,Normal Heights,615.0,8314.0,8314.0,0.0,,32.7657049048033-117.1259424533665,0.0,32.7657049048,-117.125942453,In process,1.0,0.0,2017-05-03T15:48:00,Pothole,Pothole,Assigned
107,633,Normal Heights,633.0,8734.0,8734.0,0.0,,32.76693837720227-117.1183254663992,0.0,32.7669383772,-117.118325466,In process,1.0,0.0,2017-05-02T17:39:00,Pothole,Pothole,Assigned
108,638,Normal Heights,638.0,8832.0,8832.0,0.0,,32.77027807459984-117.119478872412,0.0,32.7702780746,-117.119478872,In process,1.0,0.0,2017-05-02T14:45:00,Pothole,Pothole,Assigned
109,639,Normal Heights,639.0,8834.0,8834.0,0.0,,32.76913414671457-117.1195592955105,0.0,32.7691341467,-117.119559296,In process,1.0,0.0,2017-05-02T14:43:00,Pothole,Pothole,Assigned
110,640,Normal Heights,640.0,8835.0,8835.0,0.0,,32.76905258927138-117.1192970706668,0.0,32.769052589299996,-117.119297071,In process,1.0,0.0,2017-05-02T14:43:00,Pothole,Pothole,Assigned
111,641,Normal Heights,641.0,8839.0,8839.0,0.0,,32.76747165155581-117.119519593469,0.0,32.7674716516,-117.11951959299999,In process,1.0,0.0,2017-05-02T14:40:00,Pothole,Pothole,Assigned
112,643,Normal Heights,643.0,8867.0,8867.0,0.0,,32.76338188731509-117.12498328148257,0.0,32.7633818873,-117.124983281,In process,1.0,0.0,2017-05-02T14:12:00,Pothole,Pothole,Assigned
113,660,Chollas Creek,660.0,9171.0,9171.0,0.0,,32.741838-117.08635,0.0,32.741838,-117.08635,In process,1.0,0.0,2017-05-01T19:30:00,Pothole,Pothole,Assigned
114,666,Fairmont Village,666.0,9220.0,9220.0,0.0,,32.745834-117.092499,0.0,32.745834,-117.092499,In process,1.0,0.0,2017-05-01T17:07:00,Pothole,Pothole,Assigned
115,672,Normal Heights,672.0,9481.0,9481.0,0.0,,32.76736170186119-117.1195634339674,0.0,32.7673617019,-117.119563434,In process,1.0,1.0,2017-05-01T07:37:00,Pothole,Pothole,Assigned
116,707,Kearny Mesa,707.0,10015.0,10015.0,0.0,,32.83243880861806-117.14143304748535,0.0,32.8324388086,-117.141433047,In process,1.0,1.0,2017-04-29T09:41:00,Pothole,Pothole,Acknowledged
117,715,Pacific Beach,715.0,10100.0,10100.0,0.0,,32.80334558271178-117.2261822397644,0.0,32.8033455827,-117.22618224,In process,1.0,0.0,2017-04-28T17:45:00,Pothole,Sidewalk,Assigned
118,731,North Park,731.0,10374.0,10374.0,0.0,,32.733206-117.115397,0.0,32.733206,-117.115397,In process,1.0,1.0,2017-04-28T06:37:00,Pothole,Pothole,Assigned
119,735,Serra Mesa,735.0,10408.0,10408.0,0.0,,32.7831122-117.11957159999997,0.0,32.7831122,-117.1195716,In process,1.0,0.0,2017-04-27T21:56:00,Pothole,Pothole,Assigned
120,737,University City,737.0,10436.0,10436.0,0.0,,32.86403148211171-117.2054625163384,0.0,32.8640314821,-117.205462516,In process,1.0,0.0,2017-04-27T19:46:00,Pothole,Pothole,Acknowledged
121,739,Serra Mesa,739.0,10513.0,10513.0,0.0,,32.8054308-117.1293245,0.0,32.8054308,-117.12932450000001,In process,1.0,0.0,2017-04-27T17:08:00,Pothole,Pothole,Assigned
122,745,Loma Portal,745.0,10587.0,10587.0,0.0,,32.75180806523994-117.22378759307867,0.0,32.7518080652,-117.223787593,In process,1.0,0.0,2017-04-27T14:46:00,Pothole,Pothole,Assigned
123,761,Mount Hope,761.0,10871.0,10871.0,0.0,,32.715933-117.107609,0.0,32.715933,-117.10760900000001,In process,1.0,0.0,2017-04-26T18:26:00,Pothole,Pothole,Assigned
124,762,El Cerrito,762.0,10879.0,10879.0,0.0,,32.754898-117.076276,0.0,32.754898,-117.07627600000001,In process,1.0,0.0,2017-04-26T18:20:00,Pothole,Pothole,Assigned
125,773,Loma Portal,773.0,11218.0,11218.0,0.0,,32.75493293538015-117.2231538222332,0.0,32.7549329354,-117.22315382200001,In process,1.0,1.0,2017-04-26T02:26:00,Pothole,Pothole,Assigned
126,774,Ridgeview-Webster,774.0,11222.0,11222.0,0.0,,32.719704-117.092101,0.0,32.719704,-117.092101,In process,1.0,0.0,2017-04-25T23:07:00,Pothole,Pothole,Assigned
127,775,Ridgeview-Webster,775.0,11224.0,11224.0,0.0,,32.719644-117.092434,0.0,32.719644,-117.09243400000001,In process,1.0,0.0,2017-04-25T23:04:00,Pothole,Pothole,Assigned
128,779,Core-Columbia,779.0,11347.0,11347.0,0.0,,32.718317-117.154824,0.0,32.718317,-117.154824,In process,1.0,0.0,2017-04-25T15:47:00,Pothole,Pothole,Assigned
129,787,University City,787.0,11552.0,11552.0,0.0,,32.85460624473184-117.20459985039714,0.0,32.8546062447,-117.20459985,In process,1.0,1.0,2017-04-25T09:15:00,Pothole,Pothole,Assigned
130,790,Miramar Ranch North,790.0,11658.0,11658.0,0.0,,32.93433021555078-117.073447405947,0.0,32.9343302156,-117.073447406,In process,1.0,0.0,2017-04-24T21:26:00,Pothole,Pothole,Acknowledged
131,792,Mountain View,792.0,11669.0,11669.0,0.0,,32.68896689269584-117.10245524863038,0.0,32.6889668927,-117.102455249,In process,1.0,0.0,2017-04-24T20:40:00,Pothole,Pothole,Assigned
132,807,Pacific Beach,807.0,11895.0,11895.0,0.0,,32.81252217973497-117.25059316820624,0.0,32.8125221797,-117.250593168,In process,1.0,0.0,2017-04-24T13:19:00,Pothole,Pothole,Assigned
133,810,North Park,810.0,11970.0,11970.0,0.0,,32.75221684454028-117.12893485972492,0.0,32.7522168445,-117.12893486,In process,1.0,0.0,2017-04-24T10:32:00,Pothole,Pothole,Assigned
134,812,San Carlos,812.0,12034.0,12034.0,0.0,,32.80855709736017-117.05161045619978,0.0,32.8085570974,-117.051610456,In process,1.0,0.0,2017-04-24T08:03:00,Pothole,Pothole,Acknowledged
135,841,Clairemont Mesa West,841.0,12532.0,12532.0,0.0,,32.815896-117.187739,0.0,32.815896,-117.187739,In process,1.0,0.0,2017-04-22T17:12:00,Pothole,Pothole,Assigned
