,pole,longitude,latitude
56,P-3803,-117.186292,32.741456
57,P-3805,-117.186504,32.741543
58,P-3811,-117.186869,32.741690000000006
59,P-3813,-117.186921,32.74171
60,P-3815,-117.18697399999999,32.74173
61,P-3821,-117.187026,32.741751
62,SU-3409,-117.18625300000001,32.741676
63,SU-3411,-117.186204,32.741749
64,SU-3415,-117.186159,32.741817
65,ADN-2912,-117.23090400000001,32.72167
66,ADN-2914,-117.23091299999999,32.721575
67,S-2707,-117.22856499999999,32.721025
68,S-2712,-117.22853,32.721191999999995
69,S-2713,-117.228706,32.721109999999996
70,S-2714,-117.22868100000001,32.721284000000004
71,S-2717,-117.228847,32.721195
72,S-2720,-117.22882299999999,32.721369
73,1-1004,-117.16392900000001,32.715903999999995
74,1-1006,-117.16393000000001,32.716037
75,1-1008,-117.163931,32.716169
76,1-1020,-117.161278,32.717890000000004
77,1-1310,-117.163951,32.719024
78,1-1312,-117.163952,32.719161
79,1-1313,-117.16377,32.719297999999995
80,1-1314,-117.163953,32.719453
81,1-1315,-117.163772,32.719571
82,1-1317,-117.163772,32.719707
83,2-1303,-117.162852,32.718951000000004
84,2-1305,-117.162853,32.719029
85,2-1307,-117.162853,32.719088
86,2-1309,-117.16285400000001,32.719165999999994
87,2-1311,-117.16285400000001,32.719224
88,2-1313,-117.15411,32.714712
89,2-1315,-117.162856,32.71938
90,2-1316,-117.16303799999999,32.719457
91,2-1317,-117.162857,32.719516
92,2-1318,-117.16303899999998,32.719592999999996
93,2-1320,-117.16304,32.719652
94,2-1322,-117.16304,32.71973
95,2-1323,-117.16285900000001,32.719789
96,3-1001,-117.161914,32.715859
97,3-1003,-117.16191699999999,32.715975
98,3-1005,-117.16192,32.716071
99,3-1007,-117.161924,32.716187
100,3-1014,-117.16211000000001,32.716299
101,3-1016,-117.16211299999999,32.716396
102,3-1018,-117.162117,32.716512
103,3-1020,-117.16212,32.716609000000005
104,3-1116,-117.162126,32.717139
105,3-1118,-117.162127,32.717447
106,3-1203,-117.161947,32.717954
107,3-1205,-117.161947,32.718069
108,3-1207,-117.161947,32.718164
109,3-1209,-117.161947,32.718278999999995
110,3-1218,-117.16212900000001,32.718393
111,3-1220,-117.161278,32.717890000000004
112,3-1221,-117.161948,32.718489
113,3-1223,-117.161948,32.718584
114,3-1300,-117.16213,32.718957
115,3-1301,-117.16194899999999,32.719015999999996
116,3-1302,-117.162131,32.719074
117,3-1303,-117.16194899999999,32.719132
118,3-1304,-117.162131,32.71921
119,3-1305,-117.16195,32.719249
120,3-1306,-117.162132,32.719326
121,3-1308,-117.162132,32.719384000000005
122,3-1310,-117.162132,32.719443
123,3-1312,-117.16213300000001,32.719501
124,3-1313,-117.161951,32.719559999999994
125,3-1314,-117.16213300000001,32.719637
126,3-1316,-117.16213300000001,32.719695
127,3-1320,-117.16213400000001,32.719753999999995
128,3-1322,-117.16213400000001,32.719812
129,4-1011,-117.161004,32.715989
130,4-1013,-117.161006,32.716244
131,4-1019,-117.161079,32.716507
132,4-1021,-117.161111,32.716388
133,4-1204,-117.161204,32.71798
134,4-1206,-117.16120500000001,32.718075
135,4-1208,-117.161206,32.71819
136,4-1210,-117.161207,32.718284999999995
137,4-1216,-117.161208,32.718399
138,4-1218,-117.16120900000001,32.718495000000004
139,4-1222,-117.16121100000001,32.718609
140,4-1224,-117.161212,32.718705
141,4-1300,-117.16121399999999,32.719002
142,4-1302,-117.16121499999998,32.719099
143,4-1304,-117.161216,32.719196000000004
144,4-1306,-117.161216,32.719293
145,4-1310,-117.160973,32.719511
146,4-1312,-117.161027,32.719414
147,4-1313,-117.16103500000001,32.719390999999995
148,4-1314,-117.161084,32.719414
149,4-1315,-117.16103600000001,32.719488
150,4-1316,-117.161084,32.719414
151,4-1317,-117.16103600000001,32.719584000000005
152,4-1319,-117.16103700000001,32.719681
153,4-1321,-117.16103799999999,32.719778000000005
154,5-1002,-117.15999099999999,32.716231
155,5-1004,-117.15999,32.716232
156,5-1006,-117.159989,32.716229999999996
157,5-1302,-117.160288,32.719007
